order_date,region,parcel_volume
2024-03-23,ID,891
2023-06-01,VN,270
2023-08-27,SG,432
2023-07-28,MY,615
2024-11-29,TH,320
2022-09-19,MY,594
2024-04-03,MY,1226
2022-12-23,MY,441
2023-09-23,TH,354
2023-03-13,SG,442
2024-03-28,TH,338
2022-03-07,PH,483
2024-04-27,VN,327
2022-07-18,TH,397
2023-11-17,SG,343
2022-03-30,ID,660
2024-12-09,SG,595
2023-05-11,SG,370
2022-01-10,TH,268
2022-08-06,ID,777
2023-08-31,SG,364
2022-06-06,ID,925
2023-08-06,PH,630
2023-01-25,MY,98
2022-08-19,ID,724
2023-12-27,PH,438
2022-03-12,TH,272
2022-07-06,VN,298
2023-11-22,SG,365
2024-03-17,MY,614
2023-01-22,SG,71
2022-01-22,VN,460
2024-11-04,ID,1423
2022-07-18,ID,903
2024-01-14,ID,867
2024-04-08,ID,2449
2022-06-20,VN,324
2023-11-25,SG,410
2022-06-29,TH,345
2022-09-12,PH,551
2024-08-18,PH,654
2024-10-16,MY,596
2024-05-31,TH,398
2024-05-25,VN,343
2022-02-23,SG,304
2023-11-15,TH,292
2023-05-15,MY,637
2022-11-01,MY,584
2024-10-29,PH,561
2023-11-17,PH,449
2022-12-24,SG,367
2024-10-09,SG,685
2022-12-14,TH,261
2024-03-08,MY,539
2024-08-04,MY,655
2024-02-03,ID,786
2024-05-14,ID,961
2022-09-20,PH,483
2024-03-13,VN,263
2022-02-21,VN,244
2023-01-13,VN,486
2024-03-08,PH,447
2024-01-27,ID,878
2022-08-14,PH,562
2023-11-05,VN,529
2022-07-28,ID,716
2023-09-22,PH,462
2022-03-22,MY,474
2023-08-30,SG,397
2022-04-08,MY,424
2023-07-21,MY,567
2023-12-05,VN,294
2022-05-14,TH,354
2023-04-01,SG,405
2024-06-04,PH,566
2023-10-11,VN,302
2023-02-04,TH,327
2022-05-22,VN,307
2022-08-22,TH,400
2022-12-13,VN,249
2024-11-03,MY,873
2023-12-18,SG,415
2024-02-05,SG,839
2024-07-11,PH,587
2023-06-23,ID,849
2022-11-17,PH,379
2023-07-04,ID,911
2024-03-11,TH,375
2022-03-09,MY,458
2024-08-15,MY,609
2023-05-20,MY,540
2023-10-06,TH,406
2022-09-11,SG,434
2023-02-07,MY,489
2023-01-27,MY,591
2024-02-04,ID,878
2022-04-18,SG,426
2023-08-25,PH,533
2022-03-29,PH,428
2024-11-25,PH,575
2024-04-13,ID,131
2024-04-15,SG,423
2024-07-21,TH,428
2024-06-29,TH,465
2024-10-28,PH,587
2024-09-04,TH,347
2024-11-24,MY,577
2024-12-19,VN,259
2023-05-19,ID,866
2023-03-28,PH,491
2024-01-03,PH,207
2022-03-19,TH,303
2022-09-01,MY,504
2024-10-19,ID,959
2022-02-07,ID,697
2024-08-11,PH,609
2024-02-02,MY,838
2024-01-18,ID,693
2022-10-24,ID,815
2024-03-20,MY,585
2024-03-06,SG,369
2024-06-02,SG,435
2023-10-08,MY,859
2022-10-17,MY,582
2022-02-04,VN,21
2023-10-15,PH,541
2022-09-06,SG,500
2024-07-17,TH,430
2023-11-28,ID,771
2023-11-01,MY,619
2022-04-14,TH,90
2022-11-22,MY,490
2024-04-06,MY,1480
2022-08-16,MY,615
2024-03-01,VN,276
2023-12-25,TH,346
2022-05-06,MY,784
2022-09-07,SG,555
2023-05-18,PH,502
2023-07-25,MY,627
2023-08-09,ID,853
2024-11-22,ID,843
2023-12-14,ID,743
2024-03-16,ID,894
2023-10-15,MY,594
2023-04-04,MY,541
2024-02-25,MY,570
2023-03-26,SG,401
2024-09-25,TH,375
2023-05-09,TH,367
2024-02-24,TH,318
2024-11-07,VN,498
2022-12-13,ID,746
2022-05-04,MY,78
2023-12-08,ID,947
2024-10-16,VN,303
2023-10-27,MY,518
2023-11-08,ID,1541
2024-08-20,SG,472
2022-06-07,ID,848
2022-12-18,ID,819
2024-08-18,ID,1007
2023-11-25,MY,508
2023-10-07,MY,723
2024-09-16,SG,461
2023-03-12,ID,790
2024-08-28,SG,451
2022-09-28,SG,367
2024-01-05,SG,350
2024-04-24,TH,355
2022-08-14,TH,346
2024-12-23,SG,393
2023-04-22,ID,128
2024-12-07,MY,713
2023-02-07,VN,283
2022-01-06,SG,302
2022-07-27,TH,357
2023-01-20,MY,1047
2024-12-11,ID,1663
2023-03-11,PH,399
2023-05-02,SG,415
2024-05-15,VN,317
2022-04-18,PH,484
2023-12-31,MY,530
2023-07-13,VN,275
2022-03-21,ID,724
2022-06-17,ID,813
2024-10-12,TH,378
2022-04-29,TH,300
2023-07-18,SG,431
2024-03-29,VN,264
2023-04-23,VN,296
2024-12-02,VN,299
2024-04-20,SG,473
2022-09-14,MY,482
2022-06-29,ID,751
2023-01-14,ID,719
2022-09-26,TH,396
2024-12-24,VN,318
2023-03-02,SG,312
2023-12-09,MY,847
2024-12-21,VN,276
2024-12-28,TH,331
2024-04-06,SG,417
2022-02-22,PH,445
2024-01-23,ID,874
2022-06-27,VN,313
2023-02-10,TH,291
2024-07-27,MY,681
2024-09-12,VN,275
2022-02-20,ID,699
2022-04-03,MY,491
2023-07-04,SG,445
2022-10-06,VN,266
2023-04-10,VN,307
2022-08-05,PH,490
2023-07-31,MY,582
2024-09-20,TH,387
2023-03-08,VN,243
2024-06-12,SG,442
2022-11-05,ID,1072
2024-02-06,MY,1225
2022-02-27,MY,490
2024-01-04,ID,738
2024-06-27,PH,533
2023-04-18,ID,2107
2024-12-31,TH,382
2023-09-05,VN,399
2024-08-16,SG,435
2022-01-26,PH,332
2023-07-29,MY,558
2022-11-21,SG,380
2023-12-14,VN,266
2022-11-13,MY,529
2024-10-10,PH,1809
2024-06-23,TH,442
2022-12-23,SG,309
2022-03-27,MY,585
2022-08-26,VN,293
2023-05-12,ID,813
2022-02-11,SG,265
2024-10-11,SG,416
2023-07-16,ID,925
2022-04-04,ID,791
2024-12-06,TH,332
2024-01-22,PH,521
2022-11-06,MY,797
2022-04-14,MY,449
2024-06-27,MY,604
2024-10-02,ID,899
2022-11-19,ID,676
2022-09-06,ID,1100
2023-09-18,VN,298
2022-07-17,SG,444
2024-01-01,SG,408
2024-06-15,PH,592
2024-01-17,ID,714
2022-05-03,PH,491
2024-11-16,PH,498
2022-11-10,TH,621
2024-02-20,TH,349
2022-02-13,VN,480
2023-11-05,SG,625
2022-04-02,ID,748
2023-04-07,SG,354
2022-11-15,ID,762
2022-04-02,TH,273
2024-05-01,SG,393
2022-06-07,TH,385
2022-05-24,PH,492
2023-09-16,VN,286
2023-10-04,SG,388
2024-09-25,MY,625
2022-04-01,VN,242
2022-01-18,ID,654
2024-12-12,SG,1556
2023-01-07,PH,468
2022-12-05,TH,331
2022-04-23,SG,364
2022-07-03,TH,421
2023-02-03,PH,343
2024-11-04,TH,564
2024-05-03,PH,554
2024-03-03,MY,645
2022-03-14,SG,370
2023-12-17,TH,356
2022-03-04,MY,383
2022-03-11,TH,286
2022-10-10,TH,1269
2022-12-09,VN,371
2024-01-28,TH,339
2022-12-10,VN,445
2024-05-21,TH,414
2022-04-27,PH,469
2022-12-11,TH,578
2022-06-28,SG,446
2024-01-19,VN,224
2022-09-23,ID,713
2023-03-09,TH,289
2023-12-12,SG,1657
2022-06-04,SG,425
2024-07-21,ID,1048
2024-10-16,PH,506
2024-12-16,PH,1235
2022-01-15,ID,605
2023-02-28,SG,398
2024-09-24,TH,424
2022-01-05,VN,294
2022-01-09,ID,692
2022-04-21,VN,232
2024-02-13,MY,108
2022-11-29,ID,738
2024-10-31,ID,873
2022-02-17,SG,302
2023-06-16,TH,339
2024-12-19,SG,338
2023-06-18,VN,368
2023-12-21,TH,254
2023-06-26,PH,656
2022-01-15,TH,253
2022-08-09,SG,411
2023-06-15,SG,406
2022-10-02,MY,523
2024-03-03,TH,405
2022-10-25,VN,268
2024-10-23,VN,281
2024-04-27,TH,400
2022-05-20,MY,486
2022-01-19,SG,290
2022-07-16,SG,391
2024-08-26,VN,347
2022-08-06,PH,476
2024-03-11,ID,867
2022-06-05,SG,429
2022-12-01,PH,528
2023-06-05,MY,641
2022-04-27,TH,325
2022-07-16,ID,814
2023-12-17,PH,1068
2023-12-11,TH,670
2024-07-17,MY,636
2023-10-24,TH,350
2023-03-09,ID,709
2024-08-25,MY,627
2023-01-27,TH,258
2024-12-25,VN,289
2024-12-04,MY,563
2023-12-18,TH,342
2022-01-03,PH,226
2022-03-26,ID,706
2022-03-14,VN,267
2022-11-14,SG,367
2022-08-24,PH,426
2023-03-02,ID,677
2024-11-07,PH,832
2024-08-09,TH,352
2023-06-24,PH,536
2024-12-22,MY,659
2022-12-04,MY,552
2024-01-26,PH,475
2023-04-10,TH,584
2024-11-13,ID,880
2024-10-17,VN,260
2022-10-04,VN,294
2024-03-12,MY,563
2022-07-05,ID,875
2023-09-18,MY,635
2023-09-26,MY,545
2022-01-20,VN,385
2023-02-23,PH,418
2022-08-19,TH,308
2024-02-04,TH,339
2023-05-02,ID,920
2023-04-27,VN,287
2023-03-03,TH,276
2022-12-13,PH,789
2022-06-30,TH,340
2023-04-14,TH,93
2023-11-15,ID,801
2022-11-12,MY,486
2022-08-13,VN,329
2022-03-28,VN,254
2022-08-17,ID,807
2023-04-07,VN,247
2024-11-01,MY,352
2023-04-27,SG,366
2022-01-16,PH,435
2024-08-15,PH,499
2022-06-15,MY,495
2024-04-18,MY,847
2022-06-07,MY,573
2023-09-04,TH,400
2022-11-21,MY,562
2023-09-15,ID,798
2022-04-26,VN,279
2022-10-18,PH,440
2023-11-22,PH,417
2024-03-25,SG,444
2024-04-10,MY,98
2024-06-01,MY,682
2022-09-12,ID,881
2022-01-06,MY,404
2023-09-04,VN,319
2022-08-10,ID,795
2024-12-20,SG,335
2022-02-05,SG,466
2022-03-07,ID,697
2024-09-16,VN,367
2022-04-30,MY,1429
2024-10-11,MY,592
2024-05-05,TH,419
2024-11-22,TH,337
2023-10-18,SG,378
2022-03-21,MY,521
2024-08-25,SG,477
2022-04-27,MY,1073
2023-10-16,PH,500
2024-05-08,VN,335
2024-11-05,ID,1493
2023-05-18,TH,358
2023-09-19,SG,413
2024-10-29,TH,431
2024-10-04,SG,405
2024-06-15,MY,724
2023-10-23,PH,537
2023-01-12,ID,656
2023-06-28,ID,877
2022-08-21,MY,563
2024-09-29,MY,684
2022-10-19,ID,687
2023-07-28,PH,527
2023-11-14,PH,546
2022-02-02,PH,322
2022-04-10,MY,512
2022-06-27,ID,818
2023-08-26,SG,411
2023-07-28,VN,302
2022-10-07,MY,658
2023-03-31,MY,496
2023-05-17,ID,891
2023-09-10,PH,504
2023-06-17,PH,515
2022-08-11,VN,257
2024-03-12,TH,366
2023-08-24,VN,261
2024-12-21,TH,338
2024-11-14,VN,310
2023-04-19,MY,1451
2023-12-30,TH,546
2022-03-25,VN,243
2023-09-23,MY,575
2024-01-25,TH,305
2022-06-18,ID,833
2023-07-21,SG,416
2024-02-07,PH,437
2024-07-22,SG,472
2022-07-26,SG,430
2024-08-07,MY,646
2022-11-16,ID,707
2023-05-26,MY,591
2023-05-11,VN,263
2024-11-17,PH,534
2022-12-07,MY,576
2024-10-15,SG,415
2022-09-25,PH,509
2024-08-03,PH,597
2023-05-22,ID,899
2023-03-29,SG,347
2024-08-08,SG,467
2022-08-05,ID,773
2024-05-27,TH,457
2024-07-22,PH,712
2023-02-18,MY,496
2022-01-11,PH,400
2023-04-25,MY,918
2022-11-20,PH,451
2023-01-08,MY,504
2022-03-13,SG,388
2024-10-22,TH,342
2022-11-30,ID,693
2024-02-20,VN,564
2024-12-23,VN,337
2023-09-02,SG,419
2023-11-15,VN,256
2023-11-03,VN,397
2022-09-19,TH,408
2023-01-01,VN,126
2024-08-28,PH,544
2023-03-24,MY,506
2022-11-11,MY,3503
2023-01-06,PH,465
2023-03-14,ID,798
2024-02-26,VN,309
2024-01-26,ID,711
2023-12-10,SG,678
2024-07-24,MY,628
2024-11-15,TH,301
2024-11-08,MY,1099
2022-05-21,VN,306
2023-11-19,PH,527
2022-09-17,ID,800
2022-01-02,MY,467
2022-02-23,MY,457
2024-06-20,VN,309
2024-11-26,PH,624
2024-03-11,VN,322
2023-09-09,PH,1559
2023-11-30,TH,273
2024-08-13,TH,432
2023-08-23,ID,854
2022-02-15,ID,688
2024-01-20,VN,266
2024-06-03,VN,368
2024-01-29,PH,476
2024-06-05,PH,570
2022-03-04,SG,316
2022-11-20,ID,756
2023-08-27,VN,354
2022-12-20,PH,984
2024-06-30,SG,493
2024-03-19,VN,308
2023-09-29,VN,283
2022-03-29,MY,507
2024-11-26,VN,305
2022-11-18,SG,353
2022-08-20,ID,806
2023-07-31,ID,913
2023-06-06,MY,605
2023-08-18,PH,480
2023-11-25,VN,304
2023-03-24,ID,709
2024-08-17,TH,440
2023-03-03,ID,712
2023-11-14,TH,366
2022-12-24,VN,213
2023-02-15,ID,749
2022-02-11,ID,609
2024-09-29,TH,429
2022-03-16,PH,424
2024-01-07,MY,528
2022-07-27,SG,388
2023-09-29,TH,317
2022-01-02,VN,119
2024-06-02,TH,441
2024-05-05,SG,485
2022-01-20,ID,593
2024-12-07,SG,524
2022-05-15,VN,290
2022-06-22,SG,376
2022-06-13,VN,316
2023-09-19,ID,880
2022-10-10,PH,1650
2022-07-19,ID,850
2023-02-20,PH,514
2022-05-06,PH,412
2024-01-31,SG,455
2022-02-21,ID,709
2024-07-02,SG,495
2022-09-12,TH,376
2024-11-08,ID,1722
2022-06-05,VN,323
2024-02-29,VN,265
2022-03-20,MY,481
2022-12-01,SG,289
2022-04-12,ID,789
2022-04-03,VN,296
2023-05-19,MY,546
2024-06-28,SG,424
2024-12-10,ID,1453
2023-04-30,VN,349
2023-09-13,ID,818
2024-04-11,SG,388
2024-10-25,SG,509
2022-02-18,PH,298
2022-01-23,VN,605
2024-02-22,VN,415
2023-10-30,PH,522
2022-12-20,VN,271
2023-12-08,TH,437
2023-11-04,ID,1170
2022-08-06,VN,333
2023-05-11,TH,333
2024-07-28,SG,479
2023-05-11,PH,488
2023-12-07,ID,1012
2022-04-04,TH,341
2024-01-07,PH,430
2024-02-11,VN,27
2022-06-17,PH,463
2024-09-22,SG,462
2022-04-16,PH,433
2022-07-30,TH,381
2022-08-15,SG,430
2023-06-12,ID,946
2023-09-27,TH,391
2023-04-22,VN,290
2024-02-04,VN,759
2023-07-20,ID,853
2023-08-10,ID,879
2023-03-08,SG,354
2023-05-30,PH,527
2022-03-07,VN,265
2022-02-03,VN,21
2022-01-20,MY,441
2024-07-12,VN,344
2024-01-01,ID,815
2023-07-13,PH,532
2022-07-26,PH,494
2022-04-10,SG,403
2023-02-13,ID,778
2022-10-16,VN,300
2022-11-22,ID,774
2022-05-29,MY,593
2024-01-17,PH,482
2022-02-03,SG,60
2022-10-18,ID,770
2024-09-03,TH,429
2022-04-12,MY,488
2024-05-15,ID,906
2023-06-09,TH,358
2023-11-23,PH,447
2023-08-19,SG,438
2023-04-15,PH,460
2023-07-21,TH,388
2023-06-08,TH,336
2024-01-27,SG,362
2024-11-23,ID,899
2022-04-22,SG,356
2022-03-17,VN,190
2024-10-13,MY,607
2024-09-09,PH,1980
2024-08-19,MY,698
2023-01-07,ID,708
2024-09-21,ID,966
2023-04-16,MY,1334
2024-06-29,PH,634
2024-07-22,TH,429
2022-04-24,VN,281
2023-05-20,TH,367
2024-07-30,SG,490
2022-06-05,PH,556
2024-07-25,VN,331
2022-06-17,MY,512
2023-11-04,MY,843
2024-12-31,PH,828
2022-12-29,VN,305
2023-11-27,TH,359
2023-01-14,TH,328
2022-01-21,VN,446
2023-06-04,MY,652
2022-08-30,PH,540
2023-04-13,VN,241
2022-06-26,MY,590
2022-10-25,MY,295
2024-01-13,ID,748
2023-07-08,PH,556
2022-11-25,TH,268
2023-01-11,MY,549
2022-09-22,MY,453
2022-08-01,SG,431
2023-01-08,PH,439
2023-07-16,PH,571
2022-05-03,ID,114
2024-06-23,VN,391
2023-08-11,PH,507
2023-07-04,PH,567
2024-09-23,ID,1005
2023-06-30,PH,561
2022-03-18,SG,296
2022-03-29,TH,288
2024-08-24,PH,588
2022-01-08,MY,398
2023-02-15,TH,299
2023-03-16,ID,740
2023-02-27,PH,516
2023-01-28,VN,444
2022-05-27,MY,496
2024-01-20,SG,403
2024-07-10,SG,498
2022-11-28,SG,390
2023-05-30,SG,404
2023-08-21,PH,601
2023-12-20,SG,339
2024-02-11,PH,505
2022-01-19,PH,389
2022-01-08,SG,291
2022-04-08,VN,227
2022-08-14,MY,615
2024-03-15,SG,377
2022-11-05,VN,405
2023-05-02,TH,386
2024-01-21,PH,484
2024-10-13,PH,582
2022-01-11,SG,355
2023-05-12,PH,471
2024-04-25,MY,578
2022-10-07,ID,979
2023-08-12,VN,309
2023-10-23,TH,344
2024-03-25,VN,335
2024-12-21,PH,1262
2023-02-06,PH,440
2022-07-04,VN,364
2022-06-01,PH,508
2023-04-10,SG,392
2023-08-31,VN,271
2022-09-19,SG,384
2024-12-12,VN,1170
2023-06-02,TH,296
2024-06-16,VN,337
2023-08-24,TH,373
2022-01-03,TH,128
2023-05-12,VN,291
2023-12-01,VN,247
2023-05-24,PH,515
2024-02-03,PH,431
2023-08-01,ID,904
2023-03-04,VN,223
2023-11-20,TH,342
2024-02-27,ID,860
2024-05-17,MY,608
2023-05-31,MY,632
2024-07-23,PH,616
2024-03-17,PH,523
2024-05-27,PH,626
2023-10-16,VN,343
2023-10-08,VN,485
2022-12-09,PH,699
2022-04-25,SG,367
2023-03-14,MY,507
2022-04-05,PH,445
2022-11-18,ID,639
2023-03-25,VN,284
2023-04-19,ID,2194
2024-08-14,SG,415
2022-11-26,MY,442
2024-01-24,PH,450
2022-03-12,PH,383
2022-12-05,VN,251
2022-06-23,VN,286
2023-03-17,PH,362
2024-04-04,TH,333
2022-10-20,PH,370
2024-04-22,SG,473
2022-10-14,PH,415
2022-01-30,VN,829
2022-09-03,ID,810
2023-02-25,ID,756
2023-05-22,TH,439
2023-07-08,ID,883
2023-01-09,ID,732
2022-07-20,SG,383
2023-06-12,MY,677
2024-01-07,ID,853
2023-11-22,MY,565
2023-05-07,VN,359
2023-02-21,PH,497
2023-09-30,SG,378
2023-04-08,MY,679
2023-08-31,MY,537
2023-03-04,PH,460
2024-02-11,MY,103
2022-11-07,MY,953
2024-08-20,PH,643
2022-03-07,MY,491
2024-04-27,SG,414
2023-09-17,MY,640
2024-09-18,MY,582
2022-05-06,SG,343
2024-09-28,TH,392
2022-05-08,MY,909
2022-07-01,ID,753
2022-11-13,VN,248
2024-03-05,ID,878
2024-11-12,ID,904
2023-12-26,TH,346
2022-05-01,PH,561
2022-07-23,TH,335
2024-12-07,VN,362
2024-05-25,MY,656
2022-12-17,MY,415
2023-12-27,SG,350
2023-12-13,MY,552
2023-09-21,VN,240
2022-12-22,TH,289
2023-06-15,ID,833
2023-04-02,VN,313
2022-04-10,VN,321
2024-09-06,PH,663
2023-10-09,TH,662
2024-09-07,TH,553
2023-12-12,ID,3990
2024-11-15,ID,844
2023-10-29,SG,376
2023-10-09,PH,974
2023-05-15,PH,566
2022-07-05,VN,320
2022-12-09,TH,430
2022-12-14,ID,661
2022-05-28,VN,312
2023-08-03,PH,489
2023-06-08,SG,391
2023-09-19,TH,406
2024-06-26,ID,952
2022-11-24,SG,312
2022-03-24,VN,227
2024-10-15,PH,544
2023-08-26,TH,379
2022-03-01,PH,406
2022-04-07,SG,335
2024-07-15,ID,1080
2022-11-23,VN,236
2024-02-10,PH,384
2022-01-16,ID,723
2023-04-03,VN,328
2022-11-12,ID,661
2024-11-20,TH,336
2024-11-19,VN,306
2024-12-02,SG,427
2022-07-11,TH,445
2022-06-08,VN,273
2024-07-17,VN,348
2023-01-03,TH,134
2023-02-09,VN,234
2024-12-07,TH,440
2024-11-12,MY,589
2024-03-19,TH,369
2024-06-24,VN,395
2024-12-23,TH,440
2023-10-30,SG,440
2023-01-24,VN,27
2023-04-13,TH,97
2024-02-06,VN,884
2022-05-23,VN,315
2022-10-01,TH,336
2023-04-30,MY,962
2024-10-29,ID,934
2024-07-08,PH,648
2024-04-15,VN,361
2022-03-09,PH,415
2022-01-21,TH,209
2024-10-07,ID,1362
2023-06-19,TH,430
2022-08-03,SG,404
2023-11-23,ID,760
2022-10-11,VN,302
2022-04-13,TH,93
2022-12-09,SG,450
2023-10-15,ID,895
2022-02-03,ID,526
2023-11-26,SG,401
2022-02-14,ID,718
2024-01-18,SG,330
2023-01-04,PH,460
2024-08-22,ID,910
2024-05-21,VN,345
2024-02-10,TH,342
2024-03-11,SG,401
2024-06-09,TH,485
2022-12-25,SG,315
2022-04-05,VN,290
2023-05-17,TH,349
2024-05-09,TH,411
2024-05-19,MY,645
2024-07-13,SG,451
2022-03-05,ID,689
2024-11-10,ID,2114
2022-07-11,VN,334
2023-06-25,SG,447
2022-08-16,ID,809
2022-02-23,VN,236
2024-12-14,TH,329
2024-08-27,ID,957
2024-09-22,PH,616
2024-11-23,MY,605
2023-02-23,MY,446
2024-01-17,VN,234
2024-07-23,SG,472
2022-05-20,VN,274
2024-07-15,MY,690
2022-09-23,TH,277
2024-05-31,VN,283
2023-07-16,MY,610
2022-04-07,MY,473
2023-07-29,TH,384
2023-05-17,PH,511
2022-05-17,SG,424
2023-01-20,TH,215
2022-10-17,VN,266
2022-05-08,TH,410
2024-11-19,TH,352
2022-03-03,PH,300
2022-09-02,MY,508
2024-04-13,PH,557
2022-02-16,PH,343
2023-03-21,TH,355
2022-04-23,PH,464
2023-05-13,MY,594
2023-10-04,ID,808
2024-07-13,MY,644
2022-05-22,PH,548
2022-10-25,ID,768
2022-10-31,ID,775
2022-08-02,TH,397
2023-11-16,SG,422
2023-04-17,PH,572
2023-02-16,MY,438
2022-10-20,TH,309
2023-10-18,ID,799
2024-08-14,TH,363
2023-08-19,VN,290
2022-12-17,TH,318
2022-08-29,ID,827
2024-02-23,ID,749
2024-10-15,ID,999
2022-02-18,VN,175
2024-09-04,ID,971
2024-12-02,PH,781
2022-09-30,SG,351
2022-01-27,TH,234
2022-09-15,ID,686
2024-06-12,ID,946
2024-10-08,SG,655
2023-04-22,PH,446
2023-11-19,TH,383
2023-01-28,PH,437
2024-02-14,VN,26
2023-04-16,PH,525
2023-05-10,PH,489
2023-03-17,VN,223
2023-04-28,MY,869
2024-01-10,MY,490
2022-10-06,MY,554
2024-09-10,PH,581
2024-10-18,MY,604
2024-01-20,TH,338
2022-01-12,VN,262
2023-07-22,PH,536
2023-01-14,PH,389
