vehicle_id,vehicle_health_score,engine_temp_c,tyre_pressure_kpa,vibration_g,km_since_service,at_risk
271,40.95,150.5,224.1,0.642,5860,1
287,74.98,112.6,231.3,0.376,3139,0
203,85.72,99.5,239.8,0.239,1584,0
208,72.05,114.7,237.5,0.343,2997,0
213,73.6,116.9,234.8,0.348,2253,0
260,94.08,88.3,245.6,0.142,802,0
276,87.67,92.1,257.9,0.239,1676,0
282,76.94,105.0,250.6,0.363,2362,0
278,71.69,117.1,221.7,0.365,2577,0
257,39.19,145.0,219.3,0.631,5280,1
270,38.37,144.2,211.5,0.688,6259,1
227,86.39,106.0,251.9,0.28,2058,0
274,42.46,138.2,222.2,0.639,5834,1
218,69.05,115.2,244.3,0.369,3448,0
296,50.79,133.4,220.3,0.711,4392,1
204,40.06,147.8,213.8,0.621,5978,1
294,41.96,141.0,219.3,0.637,5601,1
246,59.2,124.3,226.5,0.559,3486,1
264,45.38,138.0,221.9,0.596,4704,1
215,76.96,115.3,246.9,0.295,2222,0
231,78.73,106.6,243.6,0.291,2754,0
286,66.5,116.7,232.3,0.385,3568,0
201,86.23,99.8,245.3,0.24,1888,0
219,72.59,116.6,227.9,0.354,3514,0
263,64.45,117.1,221.2,0.425,3616,0
280,51.22,134.0,232.9,0.524,4698,1
243,65.0,113.9,228.7,0.414,3530,0
208,64.2,119.4,241.4,0.402,3417,0
214,66.14,118.5,232.0,0.408,3141,0
289,60.07,131.1,231.3,0.504,3480,0
221,79.28,111.5,246.1,0.279,2137,0
257,70.86,113.3,242.2,0.356,2618,0
293,45.2,134.5,219.3,0.607,4837,1
237,55.68,125.0,228.5,0.537,4464,1
206,92.82,91.6,248.4,0.225,878,0
281,78.93,114.4,243.2,0.272,1992,0
278,88.16,97.0,247.1,0.188,1638,0
265,60.05,130.8,226.1,0.443,3407,0
290,57.52,126.5,230.0,0.466,4300,1
277,57.45,125.8,220.3,0.497,4079,1
268,70.91,115.1,236.5,0.357,2817,0
233,64.24,125.2,233.5,0.541,3115,0
206,82.72,101.3,237.1,0.24,1757,0
272,52.08,132.8,224.5,0.517,4982,1
284,22.33,155.9,206.7,0.801,7109,1
269,43.91,139.3,218.7,0.611,5539,1
265,86.9,100.3,249.8,0.236,2129,0
271,70.69,113.5,239.2,0.36,3503,0
227,85.16,104.7,250.1,0.364,2234,0
211,70.45,109.6,248.7,0.397,2681,0
262,87.11,106.5,252.0,0.201,1934,0
294,92.23,97.0,239.0,0.193,880,0
213,87.23,98.7,241.5,0.211,1858,0
207,78.23,110.0,248.6,0.29,2368,0
270,40.88,137.5,217.6,0.616,6148,1
242,64.67,120.3,230.3,0.403,3460,0
290,62.41,122.3,233.8,0.48,4172,0
247,84.67,108.1,242.4,0.266,1572,0
252,93.08,97.0,258.9,0.152,619,0
206,67.69,113.0,233.8,0.381,3657,0
295,80.15,109.2,256.1,0.295,2536,0
233,84.39,106.2,240.6,0.271,1556,0
243,41.92,132.9,216.6,0.615,5192,1
262,76.61,105.1,234.6,0.371,3065,0
285,86.13,109.8,240.2,0.249,1700,0
279,81.08,104.8,246.4,0.276,2290,0
277,49.83,131.4,216.8,0.54,4400,1
210,70.18,115.2,230.1,0.356,2664,0
208,79.69,104.7,244.4,0.299,2633,0
283,76.02,103.3,226.3,0.312,2413,0
291,45.63,131.7,213.8,0.577,5502,1
262,50.4,129.6,224.9,0.569,4336,1
291,79.73,105.2,243.8,0.563,1740,0
231,71.32,111.3,234.7,0.354,2937,0
235,80.12,100.9,244.2,0.265,2160,0
217,76.35,107.9,234.3,0.299,3169,0
279,70.68,119.4,245.5,0.354,2529,0
266,60.51,120.9,236.2,0.444,4098,0
222,47.16,134.2,218.5,0.616,5477,1
299,41.71,145.3,219.3,0.625,5372,1
203,71.95,111.1,225.3,0.355,3207,0
277,86.82,113.4,250.8,0.225,2068,0
220,16.45,164.6,198.9,0.852,7450,1
278,76.93,109.9,236.6,0.312,2920,0
248,74.7,110.5,236.8,0.348,3314,0
223,77.22,114.7,231.7,0.305,2311,0
205,86.46,98.7,240.1,0.206,1384,0
262,75.98,108.7,241.5,0.333,3141,0
216,76.6,116.3,236.6,0.333,2014,0
244,44.49,135.7,227.2,0.68,4879,1
295,37.77,141.0,222.7,0.666,5755,1
288,74.08,109.4,233.2,0.323,3023,0
249,82.41,97.2,240.1,0.319,2612,0
273,27.27,155.9,209.8,0.806,6826,1
282,90.56,97.9,244.9,0.195,1741,0
260,66.75,122.5,243.1,0.402,3150,0
220,67.25,117.2,235.6,0.434,3609,0
281,30.16,147.7,204.1,0.711,6240,1
208,77.12,106.8,236.0,0.294,2977,0
252,60.0,126.7,227.7,0.503,3830,0
278,72.7,110.0,240.0,0.332,3193,0
257,75.61,112.3,249.9,0.348,2537,0
234,76.87,109.8,244.5,0.316,2660,0
241,87.65,96.3,245.1,0.407,1807,0
245,70.71,113.1,231.3,0.418,2768,0
274,89.36,99.1,255.2,0.196,1263,0
299,82.85,103.3,241.3,0.235,1769,0
277,67.13,125.5,225.9,0.378,3317,0
231,76.81,110.7,241.9,0.297,2030,0
211,84.95,102.0,236.8,0.255,2470,0
247,80.4,105.2,245.7,0.258,2015,0
285,83.79,102.9,241.2,0.254,1902,0
263,74.13,109.6,236.4,0.464,2528,0
232,85.55,99.0,228.1,0.242,1697,0
208,76.02,112.8,245.8,0.389,3125,0
225,100.0,96.2,245.4,0.083,833,0
271,66.81,116.4,229.9,0.461,3419,0
266,100.0,91.7,253.6,0.105,819,0
245,70.49,112.4,235.4,0.401,3104,0
233,92.71,96.6,262.3,0.152,865,0
217,88.27,94.7,235.7,0.216,1351,0
297,37.06,140.1,215.6,0.674,5936,1
243,85.99,98.3,249.5,0.221,2075,0
276,75.04,110.6,236.1,0.356,2186,0
246,82.75,100.0,243.0,0.253,1910,0
256,53.61,120.5,242.5,0.509,4101,1
264,23.44,149.6,210.8,0.86,7296,1
235,15.89,160.8,214.6,0.849,7411,1
293,83.41,100.9,247.3,0.284,1829,0
245,70.96,112.4,241.0,0.429,2960,0
276,71.34,115.4,235.5,0.431,2944,0
291,89.55,95.6,237.0,0.207,1549,0
238,84.28,103.0,250.4,0.244,1466,0
223,66.93,126.7,237.7,0.38,3781,0
296,69.97,114.0,239.2,0.357,3208,0
278,60.0,123.2,229.6,0.469,4044,0
279,89.1,100.8,242.6,0.265,1263,0
294,86.89,97.9,253.2,0.238,1121,0
202,26.96,149.7,214.3,0.751,6939,1
294,86.5,101.1,234.1,0.202,1721,0
211,16.05,162.1,206.0,0.876,7614,1
214,64.61,116.4,231.2,0.514,3662,0
221,73.85,114.5,222.4,0.327,3073,0
211,64.39,126.5,228.4,0.401,3683,0
208,43.61,130.3,237.1,0.626,5311,1
212,79.04,109.4,226.8,0.318,2971,0
248,76.02,110.0,232.4,0.31,2744,0
237,82.27,103.9,228.2,0.264,1834,0
234,74.43,113.0,228.9,0.333,2444,0
217,29.42,155.5,202.7,0.726,6569,1
297,82.75,105.7,235.9,0.302,1626,0
233,73.9,116.0,248.4,0.33,2253,0
247,75.31,110.8,244.4,0.335,2770,0
214,78.43,109.8,239.1,0.282,2324,0
221,80.91,104.0,252.0,0.258,2595,0
223,46.55,135.6,220.2,0.65,4550,1
297,85.83,101.0,239.0,0.268,2062,0
217,44.54,137.6,219.4,0.627,5571,1
251,94.08,88.4,239.7,0.152,1506,0
254,80.59,102.0,230.5,0.283,2627,0
207,76.68,114.6,243.6,0.395,3148,0
235,70.96,120.3,238.5,0.5,2622,0
208,99.89,83.2,244.7,0.086,413,0
217,100.0,87.7,255.3,0.108,1147,0
267,98.66,88.1,254.8,0.101,1110,0
256,81.21,107.0,238.5,0.279,2569,0
249,83.44,103.7,237.7,0.28,2091,0
221,94.91,97.0,254.5,0.198,1573,0
262,77.59,103.6,242.9,0.289,2424,0
290,85.41,103.8,254.9,0.275,1653,0
284,82.27,103.7,245.4,0.303,2692,0
217,99.19,87.7,241.4,0.105,480,0
268,94.36,96.6,240.2,0.184,1564,0
224,78.62,107.2,239.4,0.298,2279,0
286,95.25,93.6,254.7,0.13,1276,0
247,79.96,112.4,243.4,0.3,2286,0
274,57.13,126.7,225.2,0.475,4355,1
253,77.15,117.2,229.8,0.345,3026,0
267,47.15,125.6,232.2,0.568,5359,1
293,41.5,139.7,228.9,0.805,5933,1
213,65.0,115.3,224.8,0.415,3518,0
290,65.57,115.6,237.5,0.465,3048,0
248,71.78,111.4,238.5,0.383,3504,0
214,82.35,108.7,246.9,0.294,2673,0
243,90.42,96.5,256.3,0.166,1157,0
205,89.14,94.7,255.1,0.185,1971,0
254,84.3,106.0,246.9,0.248,2005,0
247,64.71,115.3,231.6,0.437,3432,0
239,71.39,121.0,235.0,0.462,2463,0
244,78.03,103.5,239.1,0.31,2829,0
262,89.63,97.7,263.2,0.214,2062,0
282,74.43,119.4,238.7,0.32,2423,0
239,35.65,143.4,221.8,0.68,5478,1
201,94.48,96.4,252.0,0.172,861,0
255,72.65,112.8,231.5,0.39,3420,0
294,68.72,116.6,238.2,0.374,3700,0
239,82.27,101.8,238.8,0.291,2033,0
212,79.5,109.2,235.5,0.269,2723,0
290,32.52,152.7,219.0,0.746,6087,1
241,80.0,99.2,233.9,0.394,2390,0
237,70.74,111.2,241.7,0.499,3293,0
229,74.88,109.1,242.1,0.342,2270,0
273,79.64,103.8,248.9,0.282,1918,0
214,60.0,126.6,233.4,0.48,3500,0
261,89.55,96.5,241.0,0.186,2083,0
234,21.32,157.2,215.9,0.863,7155,1
238,70.61,120.9,243.3,0.35,2877,0
221,90.0,91.3,252.4,0.213,1264,0
280,54.67,129.8,232.0,0.532,5014,1
245,80.87,105.8,233.1,0.291,1656,0
292,62.92,121.0,237.2,0.437,4265,0
282,73.94,108.5,230.7,0.315,2904,0
276,77.84,107.3,236.6,0.301,2530,0
245,34.93,145.3,211.7,0.693,5946,1
294,91.41,96.6,238.4,0.207,764,0
258,39.44,144.3,220.3,0.662,6164,1
243,86.15,97.4,244.7,0.208,1809,0
234,65.0,114.2,241.2,0.5,2981,0
291,92.14,88.7,255.4,0.27,1512,0
225,74.1,112.6,239.3,0.381,2709,0
287,44.69,140.0,226.8,0.627,5175,1
222,67.5,112.9,234.0,0.376,2836,0
276,60.0,118.9,229.8,0.442,4207,0
228,57.14,134.0,229.7,0.508,4421,1
283,78.22,113.6,239.6,0.321,3014,0
283,64.07,125.9,234.0,0.436,3183,0
273,71.46,115.7,240.8,0.338,3560,0
299,65.74,121.9,226.3,0.409,3486,0
251,78.73,106.9,238.4,0.302,1872,0
283,49.35,127.4,229.3,0.544,5212,1
255,90.1,92.9,243.7,0.179,1338,0
203,81.7,105.6,239.2,0.281,1664,0
241,96.05,97.1,256.4,0.12,488,0
203,75.45,110.2,234.6,0.327,3243,0
266,100.0,92.4,255.1,0.114,785,0
215,34.39,145.4,217.3,0.69,6720,1
232,74.72,112.7,243.9,0.379,3081,0
287,50.18,135.4,224.7,0.647,4986,1
273,61.71,127.9,226.7,0.43,3397,0
233,30.89,149.9,210.6,0.702,6414,1
250,54.47,136.5,237.4,0.49,4159,1
258,43.34,137.2,218.1,0.615,5008,1
235,60.0,129.3,226.9,0.495,3993,0
274,86.17,104.1,242.1,0.207,1552,0
214,66.71,111.0,232.6,0.401,3974,0
242,77.45,114.8,237.7,0.296,1951,0
225,31.44,144.6,218.2,0.73,5862,1
267,84.63,102.1,244.7,0.258,2055,0
264,84.14,107.0,240.2,0.254,1460,0
280,92.14,93.7,252.5,0.195,1333,0
236,96.09,93.0,252.0,0.211,1311,0
223,67.48,120.3,242.6,0.394,2914,0
203,84.83,99.6,246.1,0.228,1374,0
286,77.28,108.4,239.2,0.373,3073,0
232,78.53,106.8,239.5,0.465,2856,0
275,64.89,123.7,234.1,0.436,3281,0
236,74.68,117.8,240.8,0.341,2731,0
233,51.79,126.6,226.0,0.545,4283,1
223,51.73,131.3,223.3,0.583,5109,1
278,68.45,114.7,238.9,0.446,2913,0
228,60.0,124.1,233.1,0.458,4396,0
229,65.0,126.8,233.4,0.42,3272,0
270,67.43,119.2,238.6,0.38,2900,0
251,78.6,105.9,240.3,0.371,2075,0
274,47.3,129.3,223.6,0.578,5128,1
210,79.0,111.8,244.7,0.272,2847,0
295,75.69,108.8,243.9,0.325,2113,0
223,78.43,105.2,244.6,0.298,2005,0
211,88.47,101.0,241.6,0.198,1643,0
210,68.45,119.1,237.4,0.366,2790,0
231,87.28,99.3,245.8,0.234,1498,0
242,69.96,111.8,238.3,0.402,3002,0
207,86.02,107.4,255.8,0.224,1774,0
262,64.57,122.9,231.7,0.455,3874,0
261,85.43,106.3,244.6,0.271,1534,0
277,78.98,106.4,237.6,0.319,2180,0
201,80.97,102.9,240.9,0.386,2137,0
209,36.48,141.9,213.5,0.653,5870,1
220,71.79,107.9,230.5,0.367,3258,0
243,58.84,123.6,218.1,0.503,3553,1
258,83.03,101.7,239.0,0.331,1620,0
220,41.01,139.8,216.3,0.648,5180,1
235,87.17,101.1,245.1,0.213,1733,0
251,83.3,104.6,240.1,0.272,1522,0
254,74.2,109.6,244.5,0.332,2283,0
252,92.61,91.5,249.8,0.157,1566,0
264,52.44,124.7,230.8,0.566,5219,1
275,30.68,149.7,220.3,0.722,5935,1
283,37.78,143.4,226.6,0.658,5495,1
296,77.8,103.3,246.1,0.308,2497,0
239,84.47,108.9,238.7,0.295,2400,0
232,27.6,154.9,217.8,0.761,6759,1
227,71.99,109.7,239.0,0.47,2836,0
235,34.15,147.0,224.4,0.71,6605,1
253,65.62,118.7,233.7,0.417,3847,0
260,69.78,116.7,242.7,0.423,3529,0
206,81.37,106.5,242.9,0.297,1864,0
299,75.11,113.8,239.6,0.328,2896,0
204,75.9,116.4,243.2,0.341,2269,0
240,66.21,119.9,232.0,0.399,3419,0
245,51.99,132.9,229.4,0.598,5088,1
234,64.96,125.6,224.1,0.417,3933,0
221,94.59,92.4,252.4,0.185,1126,0
253,97.43,88.4,243.5,0.158,1142,0
200,75.27,113.7,242.2,0.324,2183,0
274,41.45,134.9,201.6,0.622,5973,1
267,62.59,118.6,221.0,0.436,4133,0
277,85.92,108.0,245.1,0.274,2086,0
281,98.75,84.2,252.2,0.101,279,0
288,100.0,91.2,251.0,0.155,256,0
214,60.0,118.2,234.8,0.635,3663,0
283,91.59,98.8,253.5,0.166,1536,0
256,35.22,152.4,232.1,0.674,5843,1
212,40.05,136.9,219.8,0.631,5254,1
298,87.78,92.0,252.0,0.192,1714,0
281,57.46,127.6,224.1,0.477,4044,1
226,90.0,96.0,243.7,0.173,1426,0
289,74.4,111.0,233.5,0.345,3053,0
273,70.47,116.6,235.6,0.37,2788,0
244,91.87,99.2,249.4,0.167,1779,0
216,71.28,116.7,243.0,0.362,3303,0
273,98.61,91.1,253.8,0.109,1100,0
293,27.07,153.7,220.4,0.75,6695,1
219,76.19,109.5,247.5,0.295,2727,0
200,65.0,118.4,233.5,0.494,3917,0
222,64.59,120.0,232.4,0.463,3066,0
229,64.62,122.4,223.9,0.423,3447,0
237,89.12,96.7,243.3,0.261,1063,0
297,62.8,122.5,227.2,0.416,4123,0
296,100.0,88.2,247.9,0.107,1166,0
267,52.33,127.6,223.7,0.604,5136,1
221,69.71,120.0,239.0,0.365,3678,0
221,84.2,104.9,245.6,0.225,1793,0
208,60.0,125.5,236.4,0.489,4025,0
279,65.0,116.0,235.6,0.416,3442,0
222,27.79,150.4,209.2,0.764,6576,1
289,67.34,120.2,239.1,0.43,2794,0
260,73.68,113.9,229.8,0.32,2946,0
248,43.74,148.1,227.4,0.687,5758,1
292,81.83,106.3,237.9,0.344,2021,0
215,83.99,100.9,229.9,0.226,2381,0
246,33.28,145.0,219.1,0.729,6207,1
225,66.77,114.8,232.4,0.415,3592,0
218,77.59,106.5,247.2,0.307,1919,0
294,60.0,124.4,236.3,0.532,4145,0
260,69.03,114.5,229.6,0.408,2985,0
216,67.48,123.0,243.7,0.404,3727,0
210,60.0,127.5,219.2,0.447,3402,0
231,86.49,104.9,247.9,0.236,1279,0
283,78.69,107.1,249.3,0.315,2792,0
214,73.8,115.9,232.0,0.351,2762,0
274,86.71,105.4,257.9,0.236,1451,0
210,35.42,151.3,218.0,0.736,5512,1
233,66.56,116.3,236.3,0.386,3273,0
252,45.7,136.2,229.7,0.569,5568,1
212,100.0,87.0,255.0,0.085,636,0
239,86.84,111.7,237.3,0.203,1260,0
226,84.72,102.2,224.8,0.222,1746,0
204,55.14,133.2,222.0,0.503,4227,1
200,74.41,112.4,233.1,0.412,2302,0
214,59.9,127.6,224.8,0.562,3851,1
274,34.04,146.0,212.4,0.675,5773,1
203,84.27,107.1,226.8,0.227,2192,0
250,35.54,145.9,209.9,0.862,5751,1
202,40.81,147.1,223.2,0.632,5378,1
221,86.17,103.0,251.1,0.247,1357,0
217,73.29,109.8,233.4,0.359,3224,0
233,81.4,107.9,246.4,0.349,2696,0
274,86.16,101.8,229.4,0.213,1408,0
242,74.69,107.6,240.2,0.448,2784,0
201,40.79,141.8,227.0,0.683,6125,1
214,83.63,101.5,246.6,0.232,2524,0
230,78.65,107.2,240.6,0.279,1981,0
227,81.36,106.0,226.9,0.286,2303,0
256,40.16,132.8,230.9,0.619,5693,1
235,63.53,119.3,244.1,0.449,3591,0
274,40.69,144.1,224.1,0.663,6019,1
225,85.32,101.7,252.4,0.232,1279,0
267,75.0,103.6,238.8,0.319,3136,0
210,76.53,109.6,244.2,0.323,2277,0
298,50.84,133.7,230.5,0.621,4351,1
298,76.37,108.9,239.1,0.296,2765,0
227,38.23,141.4,213.6,0.723,6381,1
223,58.51,123.5,234.9,0.5,4149,1
200,99.29,93.1,263.4,0.132,1217,0
297,54.7,125.2,235.0,0.568,4587,1
203,81.28,108.1,244.2,0.282,2307,0
200,75.17,110.0,240.4,0.308,2333,0
209,48.52,138.8,226.1,0.55,4554,1
229,38.72,140.1,205.1,0.682,5965,1
297,53.95,124.7,226.5,0.554,3989,1
216,88.54,102.2,244.9,0.183,2143,0
257,63.52,123.0,225.2,0.413,3434,0
265,74.23,113.6,244.7,0.352,2746,0
279,74.52,115.0,240.2,0.36,2385,0
269,77.09,105.5,224.2,0.326,2488,0
298,46.59,132.2,224.5,0.637,4817,1
266,95.54,99.1,257.7,0.152,1385,0
284,86.05,103.6,241.3,0.33,1262,0
231,38.53,140.4,212.5,0.678,5724,1
240,26.97,145.0,204.6,0.756,7129,1
273,85.16,97.6,244.9,0.248,2323,0
287,64.45,116.4,228.6,0.456,4182,0
200,81.82,103.2,233.7,0.26,1614,0
243,81.18,107.2,251.9,0.333,1757,0
280,98.21,86.1,252.7,0.138,449,0
211,44.47,135.1,218.8,0.586,5866,1
235,77.42,104.1,250.1,0.309,3082,0
254,71.83,112.3,238.7,0.342,3085,0
208,72.1,123.3,236.3,0.358,3252,0
291,77.05,114.3,241.2,0.367,2513,0
236,93.02,98.2,245.5,0.178,1679,0
278,84.15,101.4,242.9,0.273,1478,0
242,58.28,121.2,233.1,0.485,4509,1
240,88.11,99.8,256.0,0.317,1584,0
296,70.06,109.2,232.7,0.381,3091,0
285,72.91,115.6,241.4,0.348,2985,0
251,85.2,101.8,235.5,0.235,1828,0
246,72.21,113.5,240.3,0.349,3387,0
278,64.74,113.3,243.9,0.515,3286,0
268,69.17,116.4,235.7,0.513,2772,0
297,90.54,97.1,243.8,0.168,1572,0
233,50.27,128.4,222.0,0.528,5129,1
211,82.26,106.0,245.6,0.283,2102,0
219,69.67,114.2,236.2,0.441,3359,0
252,83.79,105.0,241.2,0.285,1955,0
231,77.3,111.8,243.9,0.293,2928,0
280,84.46,98.9,238.7,0.256,2174,0
287,75.22,111.5,244.1,0.415,3258,0
218,85.04,103.1,242.4,0.225,1998,0
298,74.73,116.5,242.6,0.314,2958,0
263,79.2,111.0,246.1,0.29,2406,0
226,77.28,107.9,228.4,0.305,2584,0
220,80.26,105.1,241.2,0.352,1772,0
216,82.79,105.2,233.9,0.265,1998,0
247,75.05,106.7,228.4,0.367,2405,0
207,78.8,104.1,239.4,0.324,2963,0
213,81.86,103.5,244.4,0.245,2618,0
275,85.08,93.2,235.0,0.243,1760,0
248,79.24,103.7,242.7,0.301,1895,0
252,71.13,113.2,231.4,0.389,2916,0
232,80.86,117.3,242.4,0.269,2819,0
255,86.7,98.7,260.4,0.25,1212,0
234,66.67,121.0,232.3,0.428,3915,0
204,52.42,129.7,219.5,0.526,4172,1
256,73.38,114.4,237.8,0.325,2931,0
208,78.08,104.3,239.3,0.29,2905,0
268,60.0,117.8,228.4,0.452,4142,0
291,65.0,125.3,233.5,0.402,3184,0
266,78.17,103.2,239.4,0.362,3050,0
