parcel_id,parcel_value,prior_claims,account_age_days,claim_lag_days,fraud_flag
214,62.72,8,186,1,1
215,200.0,1,1596,17,0
216,31.58,0,927,17,0
217,105.55,1,609,8,0
218,60.07,0,185,18,0
219,27.29,1,558,28,0
220,27.44,0,1119,14,0
221,5.0,0,1662,16,0
222,48.51,0,283,27,0
223,24.99,1,963,14,0
224,7.8,0,1307,26,0
225,7.04,1,1293,18,0
226,92.02,0,1160,28,0
227,43.25,1,548,15,0
228,7.41,0,1357,13,0
229,11.9,0,356,20,0
230,19.42,2,188,27,0
231,33.06,0,273,21,0
232,79.15,1,610,7,0
233,81.93,0,1087,15,0
234,27.91,0,124,25,0
235,42.52,0,963,17,0
236,35.06,0,1437,15,0
237,13.17,1,640,28,0
238,92.71,2,651,9,0
239,37.75,1,839,15,0
240,10.06,1,752,29,0
241,45.31,1,1246,13,0
242,5.72,0,147,26,0
243,47.72,2,1258,19,0
244,19.44,0,156,19,0
245,9.17,0,341,13,0
246,36.81,0,1364,13,0
247,89.24,0,1414,22,0
248,65.84,0,1775,15,0
249,21.04,0,147,24,0
250,107.32,0,902,11,0
251,73.45,0,1129,22,0
252,23.6,0,650,26,0
253,17.09,0,740,29,0
254,91.17,1,1204,21,0
255,32.15,0,1360,23,0
256,10.12,0,744,20,0
257,104.05,0,1697,5,0
258,54.12,4,72,2,1
259,35.88,2,316,9,0
260,14.33,2,1686,15,0
261,40.46,1,363,19,0
262,15.65,2,636,14,0
263,21.43,2,1495,28,0
264,116.28,0,1492,6,0
265,24.35,1,250,22,0
266,30.68,0,1648,7,0
267,183.41,1,783,15,0
268,26.8,0,1108,11,0
269,23.49,2,1189,14,0
270,17.23,1,1234,24,0
271,19.8,0,193,11,0
272,18.39,0,871,7,0
273,80.07,0,295,5,0
274,167.82,0,138,12,0
275,7.93,0,1298,28,0
276,10.34,0,271,23,0
277,27.0,0,711,22,0
278,18.47,2,266,20,0
279,18.14,0,605,24,0
280,9.92,0,1347,13,0
281,119.98,1,916,18,0
282,48.65,2,740,26,0
283,63.38,0,266,16,0
284,45.76,7,291,0,1
285,50.63,0,908,7,0
286,53.51,0,993,21,0
287,95.36,0,1498,14,0
288,117.48,1,1453,6,0
289,66.65,0,1605,22,0
290,18.98,1,790,14,0
291,26.8,0,241,26,0
292,138.74,0,839,27,0
293,84.2,1,1321,21,0
294,70.05,0,1036,12,0
295,17.18,1,933,6,0
296,33.26,0,993,27,0
297,11.41,1,912,19,0
298,22.6,1,281,24,0
299,24.96,1,1072,7,0
300,70.75,0,1602,24,0
301,21.38,1,1016,21,0
302,32.88,1,947,16,0
303,27.15,0,1596,29,0
304,45.57,2,532,17,0
305,64.86,0,1226,20,0
306,5.05,0,1163,14,0
307,35.76,0,1008,23,0
308,39.58,0,1460,24,0
309,20.56,0,845,15,0
310,11.31,0,1790,13,0
311,46.1,0,1381,26,0
312,48.5,0,192,13,0
313,53.62,0,810,20,0
314,21.77,2,1642,8,0
315,20.17,2,281,28,0
316,30.46,0,744,13,0
317,32.08,1,1142,7,0
318,26.93,1,632,22,0
319,130.97,0,1186,9,0
320,45.31,1,894,19,0
321,78.5,0,1693,17,0
322,48.52,0,1570,7,0
323,7.6,0,1592,21,0
324,34.06,0,1377,7,0
325,89.45,0,1055,26,0
326,6.8,0,919,20,0
327,74.72,0,1396,11,0
328,71.96,2,817,23,0
329,32.77,1,643,14,0
330,16.04,1,1499,16,0
331,22.08,0,1128,23,0
332,29.46,1,785,15,0
333,7.99,0,301,17,0
334,22.59,0,1129,29,0
335,33.2,0,278,27,0
336,44.26,2,1619,29,0
337,25.95,0,1799,7,0
338,14.13,0,305,11,0
339,92.73,0,1424,26,0
340,21.97,0,1289,24,0
341,30.07,0,471,24,0
342,9.55,1,1461,8,0
343,26.22,0,680,26,0
344,60.71,0,311,22,0
345,55.47,2,1666,25,0
346,49.72,1,562,12,0
347,55.88,0,1484,16,0
348,17.12,1,591,23,0
349,145.57,0,500,9,0
350,5.0,2,1258,13,0
351,55.66,0,307,23,0
352,43.89,0,115,25,0
353,41.31,0,1707,28,0
354,7.53,2,284,29,0
355,32.51,0,180,10,0
356,72.11,2,671,17,0
357,5.65,0,1125,7,0
358,22.37,0,323,11,0
359,21.83,1,1527,20,0
360,75.72,0,732,14,0
361,36.73,1,299,21,0
362,67.99,1,1208,28,0
363,172.78,1,1584,9,0
364,52.35,1,685,11,0
365,98.37,0,1388,19,0
366,33.59,2,1679,24,0
367,8.16,0,475,23,0
368,106.08,0,1106,27,0
369,28.19,0,1688,16,0
370,10.2,0,1502,20,0
371,19.24,0,123,19,0
372,10.79,2,1784,10,0
373,62.84,0,264,6,0
374,33.2,2,456,11,0
375,22.47,0,824,16,0
376,32.1,0,1451,11,0
377,23.4,0,574,23,0
378,72.23,1,946,6,0
379,30.02,0,1034,20,0
380,12.06,0,612,16,0
381,17.92,0,1260,17,0
382,46.67,0,185,23,0
383,7.58,1,1463,24,0
384,28.81,0,1314,29,0
385,42.16,1,465,22,0
386,45.59,0,1313,10,0
387,37.82,2,1506,11,0
388,29.65,0,1637,28,0
389,14.71,2,1328,9,0
390,200.0,0,1762,21,0
391,13.85,0,1756,5,0
392,106.2,2,1378,26,0
393,32.38,0,932,22,0
394,68.53,0,147,21,0
395,33.25,0,727,18,0
396,38.96,1,366,9,0
397,40.3,0,1208,10,0
398,14.95,0,1240,6,0
399,5.63,0,448,22,0
400,48.13,1,1428,29,0
401,48.82,0,429,13,0
402,108.01,1,865,14,0
403,9.99,1,664,16,0
404,107.39,2,1627,29,0
405,32.66,1,119,17,0
406,36.17,1,1733,14,0
407,151.48,0,1113,24,0
408,65.39,1,1678,10,0
409,33.06,1,492,27,0
410,14.72,2,1596,12,0
411,21.77,0,348,12,0
412,28.69,1,786,17,0
413,76.59,0,1318,11,0
414,35.12,1,863,13,0
415,499.74,5,14,2,1
416,170.36,1,754,14,0
417,21.24,0,1608,29,0
418,22.72,0,709,24,0
419,91.42,1,1677,10,0
420,59.29,1,566,12,0
421,36.9,0,1610,5,0
422,58.53,0,1247,16,0
423,73.89,2,1520,24,0
424,43.41,0,1586,18,0
425,181.33,0,5,3,1
426,11.76,0,623,13,0
427,15.4,0,702,5,0
428,98.6,1,1591,15,0
429,38.89,2,813,22,0
430,169.35,2,1206,13,0
431,13.37,0,399,6,0
432,9.47,1,1361,6,0
433,17.15,0,1788,25,0
434,53.04,1,1783,18,0
435,48.82,0,986,29,0
436,8.1,1,1268,12,0
437,13.91,0,438,25,0
438,23.62,2,1480,16,0
439,5.79,1,1309,29,0
440,58.75,0,399,8,0
441,46.31,0,1122,12,0
442,74.61,0,897,25,0
443,38.07,5,291,2,1
444,9.41,0,867,16,0
445,11.55,2,101,5,0
446,9.48,0,506,27,0
447,22.43,1,1636,28,0
448,19.73,1,1719,23,0
449,28.5,0,174,16,0
450,45.05,0,674,5,0
451,51.35,0,1681,10,0
452,20.12,1,1028,23,0
453,11.96,0,509,22,0
454,26.86,0,978,28,0
455,63.26,2,1611,29,0
456,93.63,0,1459,10,0
457,77.34,0,891,15,0
458,59.81,2,752,29,0
459,25.46,0,1776,15,0
460,23.53,0,106,26,0
461,31.46,2,1432,23,0
462,101.53,0,99,5,0
463,200.0,0,1248,13,0
464,6.44,1,804,17,0
465,11.81,2,513,18,0
466,16.5,0,1657,19,0
467,15.93,1,1185,7,0
468,41.99,0,1527,27,0
469,51.44,0,90,26,0
470,52.7,0,1217,7,0
471,51.38,1,987,19,0
472,20.64,0,218,19,0
473,21.62,0,1709,5,0
474,26.08,0,485,28,0
475,32.76,1,1270,22,0
476,16.41,0,768,27,0
477,19.96,1,588,19,0
478,27.86,2,1491,10,0
479,77.11,0,1067,23,0
480,40.11,0,336,20,0
481,11.42,1,1782,5,0
482,70.28,1,778,12,0
483,137.37,0,879,25,0
484,27.21,0,1263,8,0
485,43.35,1,1767,27,0
486,50.69,0,1678,29,0
487,114.76,0,839,12,0
488,48.27,0,249,27,0
489,27.07,0,1028,25,0
490,52.75,0,148,21,0
491,21.8,2,538,28,0
492,54.08,0,1376,14,0
493,34.07,0,954,14,0
494,335.72,0,11,2,1
495,17.04,0,1418,8,0
496,59.21,2,1230,29,0
497,17.25,1,1473,22,0
498,27.91,0,1736,17,0
499,33.49,1,220,7,0
500,200.0,1,1717,26,0
501,32.05,0,401,7,0
502,39.13,0,790,16,0
503,35.26,0,1293,19,0
504,39.31,0,112,18,0
505,17.54,1,524,12,0
506,29.82,0,1660,11,0
507,16.67,1,508,6,0
508,280.88,6,5,2,1
509,14.7,0,1443,5,0
510,87.38,0,1624,14,0
511,9.85,0,1643,14,0
512,82.61,1,223,15,0
513,10.83,0,292,12,0
514,12.07,1,957,23,0
515,25.54,0,1118,12,0
516,18.9,2,1027,12,0
517,18.46,0,1057,18,0
518,27.44,0,1026,9,0
519,80.33,2,1394,11,0
520,25.38,0,238,17,0
521,30.01,1,399,28,0
522,10.22,0,1695,21,0
523,23.13,1,1056,16,0
524,11.56,0,1786,10,0
525,19.02,1,946,6,0
526,75.26,0,568,18,0
527,46.67,0,1759,26,0
528,15.1,0,1322,5,0
529,110.94,1,335,22,0
530,6.05,1,1503,24,0
531,44.07,0,876,12,0
532,18.23,2,843,17,0
533,40.08,1,1373,26,0
534,249.92,5,17,5,1
535,20.97,0,1787,29,0
536,14.98,1,649,13,0
537,89.04,1,964,24,0
538,12.45,0,1343,21,0
539,8.29,1,916,19,0
540,18.03,0,947,18,0
541,83.41,1,1179,9,0
542,11.3,0,982,17,0
543,21.08,1,1120,16,0
544,35.87,0,204,16,0
545,34.77,2,1073,10,0
546,200.0,0,1773,28,0
547,34.03,2,464,25,0
548,13.12,0,989,28,0
549,11.12,0,1527,24,0
550,25.52,0,1586,26,0
551,35.38,1,820,9,0
552,5.0,0,1232,13,0
553,26.29,0,1067,19,0
554,45.04,1,1250,23,0
555,57.95,1,1080,11,0
556,24.71,1,1143,22,0
557,20.07,1,422,29,0
558,11.69,0,606,25,0
559,60.37,0,1412,6,0
560,9.99,0,1435,21,0
561,306.54,4,14,1,1
562,27.97,2,880,7,0
563,5.54,1,374,12,0
564,30.7,4,243,0,1
565,44.21,4,254,0,1
566,11.84,0,236,24,0
567,18.58,1,684,27,0
568,37.23,0,1517,28,0
569,36.67,0,696,28,0
570,17.28,0,1792,26,0
571,22.41,0,1171,9,0
572,28.26,0,366,11,0
573,34.46,0,1597,13,0
574,58.67,0,1465,6,0
575,25.46,1,1793,19,0
576,12.99,1,1347,12,0
577,20.0,7,273,2,1
578,10.7,0,1375,7,0
579,21.83,1,1663,27,0
580,26.72,1,1388,9,0
581,19.71,0,1092,27,0
582,19.38,0,1567,12,0
583,36.46,1,1653,23,0
584,38.84,0,232,20,0
585,48.08,2,150,12,0
586,35.62,1,1792,27,0
587,15.54,1,580,23,0
588,30.64,1,956,19,0
589,28.92,0,1588,29,0
590,30.79,1,191,14,0
591,14.52,0,1763,11,0
592,63.79,1,1673,26,0
593,17.65,0,466,25,0
594,65.57,6,350,2,1
595,42.28,1,675,5,0
596,71.29,0,958,17,0
597,30.99,1,688,25,0
598,42.26,0,830,5,0
599,41.76,1,1397,9,0
600,28.69,0,1694,29,0
601,107.85,1,1520,7,0
602,14.57,0,475,24,0
603,25.3,6,92,1,1
604,7.84,1,1521,25,0
605,49.07,0,601,19,0
606,16.84,2,1212,6,0
607,18.0,1,538,11,0
608,85.33,1,741,13,0
609,365.45,1,7,2,1
610,32.48,0,548,7,0
611,30.22,1,468,15,0
612,28.79,0,1175,15,0
613,11.01,0,1719,11,0
614,50.29,1,174,29,0
615,45.78,0,423,16,0
616,109.11,1,1345,25,0
617,10.25,0,963,27,0
618,80.44,0,1275,9,0
619,31.43,0,1385,19,0
620,90.81,1,473,29,0
621,51.3,2,153,25,0
622,42.76,0,189,23,0
623,56.88,1,1300,21,0
624,46.95,0,492,27,0
625,142.17,0,1403,21,0
626,22.6,0,1540,15,0
627,51.26,1,535,20,0
628,50.31,0,1725,8,0
629,23.79,1,909,10,0
630,7.49,1,1061,21,0
631,8.23,1,1325,25,0
632,19.0,1,458,11,0
633,59.2,2,1180,16,0
634,34.32,0,1790,27,0
635,5.65,0,840,5,0
636,26.8,2,493,11,0
637,61.31,0,243,11,0
638,6.81,0,1691,11,0
639,17.3,0,1759,12,0
640,27.9,2,1031,24,0
641,74.45,0,1541,5,0
642,8.62,0,787,19,0
643,12.89,2,1437,20,0
644,48.22,1,1635,22,0
645,55.05,1,562,19,0
646,55.73,0,1124,26,0
647,30.85,1,1232,29,0
648,123.4,0,900,25,0
649,33.89,0,488,16,0
650,24.64,2,1563,27,0
651,34.93,1,1476,28,0
652,99.79,0,630,26,0
653,39.85,0,1733,6,0
654,30.56,1,1303,23,0
655,29.17,8,110,1,1
656,174.07,0,20,0,1
657,20.71,0,914,25,0
658,175.37,1,658,17,0
659,160.5,2,634,13,0
660,13.58,0,828,22,0
661,59.74,1,1739,9,0
662,18.38,1,912,16,0
663,72.02,1,1232,6,0
664,60.43,0,1097,10,0
665,42.05,0,983,27,0
666,75.5,0,669,9,0
667,23.21,1,455,6,0
668,59.37,2,429,6,0
669,9.63,0,740,14,0
670,11.05,0,547,27,0
671,30.12,0,899,29,0
672,32.3,0,592,5,0
673,15.69,2,1677,11,0
674,14.04,1,1295,5,0
675,10.0,1,1464,24,0
676,87.51,0,881,21,0
677,10.96,0,646,13,0
678,24.27,0,834,14,0
679,22.19,1,1126,26,0
680,103.39,1,1463,21,0
681,88.48,1,801,16,0
682,32.67,0,897,16,0
683,37.5,0,1146,23,0
684,13.23,0,759,16,0
685,44.05,1,590,24,0
686,12.82,0,975,19,0
687,31.57,0,537,11,0
688,19.64,0,561,22,0
689,80.41,0,1268,17,0
690,23.86,0,1353,23,0
691,39.16,0,1527,28,0
692,6.26,0,760,25,0
693,14.1,0,204,11,0
694,8.93,0,459,19,0
695,480.05,1,19,1,1
696,14.51,1,1248,12,0
697,107.93,0,1620,19,0
698,30.27,1,935,10,0
699,32.43,0,1067,26,0
700,36.18,0,1540,18,0
701,127.79,1,1666,15,0
702,8.47,0,1363,21,0
703,60.24,2,1014,27,0
704,31.24,0,981,11,0
705,77.19,1,1175,18,0
706,14.63,0,1548,13,0
707,25.2,1,547,26,0
708,71.68,1,338,20,0
709,112.78,0,891,16,0
710,30.34,0,285,17,0
711,21.52,0,1563,25,0
712,120.72,0,176,18,0
713,25.5,0,885,24,0
714,30.23,0,159,20,0
715,62.36,0,363,20,0
716,47.68,1,1487,9,0
717,10.83,0,1376,29,0
718,19.9,0,774,16,0
719,5.0,1,1252,27,0
720,155.94,0,24,4,1
721,60.6,1,234,20,0
722,12.26,0,1236,19,0
723,75.88,0,1021,11,0
724,89.87,0,1005,13,0
725,59.21,4,110,1,1
726,17.77,0,1246,27,0
727,5.69,0,620,12,0
728,106.02,0,464,22,0
729,56.53,2,1348,9,0
730,51.81,1,1025,22,0
731,295.94,5,17,2,1
732,44.75,1,195,14,0
733,46.14,0,301,17,0
734,35.33,0,155,15,0
735,10.24,0,92,10,0
736,200.0,0,1724,8,0
737,7.37,1,103,23,0
738,52.53,0,1290,6,0
739,12.55,1,1210,24,0
740,28.68,0,1035,23,0
741,53.14,0,694,9,0
742,13.59,0,1423,22,0
743,39.6,1,1798,5,0
744,30.87,0,871,25,0
745,48.82,1,1711,24,0
746,18.34,0,527,29,0
747,74.86,1,1381,24,0
748,34.64,1,1632,5,0
749,6.45,0,1301,25,0
750,102.04,0,348,10,0
751,31.52,1,122,10,0
752,24.48,2,1677,13,0
753,17.81,0,1721,6,0
754,16.81,0,1263,12,0
755,31.95,0,780,8,0
756,116.33,2,1136,19,0
757,30.95,1,1267,11,0
758,19.79,0,1020,21,0
759,9.21,0,590,14,0
760,25.04,0,1323,11,0
761,24.05,1,1438,7,0
762,20.75,0,303,21,0
763,16.07,2,1420,20,0
764,30.79,0,108,21,0
765,11.11,1,720,20,0
766,7.46,0,292,5,0
767,14.64,0,1182,28,0
768,71.4,0,1421,12,0
769,79.04,0,861,23,0
770,42.37,0,582,10,0
771,13.55,1,189,25,0
772,51.76,0,440,26,0
773,34.66,0,1040,20,0
774,5.47,1,1024,28,0
775,22.84,1,1647,19,0
776,17.29,1,1167,16,0
777,7.5,0,1033,5,0
778,19.15,1,1122,21,0
779,18.32,1,1492,6,0
780,89.95,0,263,21,0
781,26.51,1,1156,16,0
782,20.51,1,460,25,0
783,34.82,7,144,2,1
784,12.07,0,1152,9,0
785,42.08,8,69,1,1
786,50.85,0,1036,15,0
787,35.76,0,386,16,0
788,88.61,1,390,11,0
789,18.69,0,1347,28,0
790,15.52,2,794,19,0
791,139.33,1,264,15,0
792,43.61,1,934,25,0
793,22.32,1,1451,24,0
794,8.78,0,1633,6,0
795,12.92,2,1427,27,0
796,56.01,0,403,26,0
797,31.41,0,424,14,0
798,5.57,0,1725,19,0
799,24.79,0,1594,9,0
800,12.51,1,1188,12,0
801,35.24,0,1494,18,0
802,31.3,2,910,25,0
803,7.55,0,493,16,0
804,34.87,0,153,13,0
805,11.23,0,1213,20,0
806,18.28,0,1034,28,0
807,41.96,0,128,24,0
808,81.87,0,1079,21,0
809,7.3,1,144,19,0
810,29.26,0,946,28,0
811,24.14,0,1098,27,0
812,19.85,0,1434,21,0
813,64.14,0,1385,7,0
814,76.76,2,1045,21,0
815,27.57,1,231,16,0
816,94.41,0,966,17,0
817,61.36,1,1733,17,0
818,58.84,2,404,23,0
819,23.81,0,1758,20,0
820,42.91,1,1363,13,0
821,29.35,0,95,15,0
822,58.18,0,1159,8,0
823,110.65,2,1666,16,0
824,49.9,0,370,6,0
825,27.86,0,1089,7,0
826,14.64,0,1083,9,0
827,9.26,0,654,19,0
828,32.89,1,99,20,0
829,57.86,0,1532,12,0
830,483.63,6,8,3,1
831,97.08,0,1337,26,0
832,54.94,1,950,22,0
833,31.73,2,1148,6,0
834,42.26,0,1685,16,0
835,33.41,1,523,22,0
836,14.88,0,334,18,0
837,55.27,1,1364,24,0
838,5.0,0,1049,19,0
839,17.13,0,380,22,0
840,38.17,0,1682,5,0
841,22.18,0,1224,22,0
842,109.04,0,612,28,0
843,36.48,0,946,10,0
844,11.51,0,1466,23,0
845,79.28,0,1358,15,0
846,26.13,0,649,22,0
847,60.48,1,1583,14,0
848,200.69,4,15,3,1
849,86.65,0,422,6,0
850,54.54,0,446,24,0
851,9.65,0,706,7,0
852,47.58,0,845,18,0
853,5.0,0,1799,27,0
854,25.95,0,1018,27,0
855,8.44,1,1127,20,0
856,139.5,0,1077,21,0
857,84.12,0,178,26,0
858,37.19,0,1394,13,0
859,8.48,1,1518,17,0
860,14.36,1,1153,22,0
861,16.47,0,1224,22,0
862,33.15,0,447,15,0
863,75.23,0,319,26,0
864,24.49,1,1338,9,0
865,13.75,0,843,19,0
866,23.22,0,603,28,0
867,44.31,1,151,12,0
868,37.08,1,1756,20,0
869,61.12,0,1138,26,0
870,28.71,1,263,22,0
871,14.96,0,583,25,0
872,40.89,1,658,8,0
873,27.82,2,363,7,0
874,24.87,0,1515,24,0
875,58.53,0,965,16,0
876,32.7,0,1051,16,0
877,56.83,0,1034,8,0
878,11.5,2,781,6,0
879,32.78,2,1132,14,0
880,17.7,0,655,19,0
881,15.16,0,1462,7,0
882,163.82,0,1019,23,0
883,17.95,0,1675,28,0
884,37.41,0,785,26,0
885,66.34,0,616,8,0
886,21.1,0,524,16,0
887,33.35,1,658,25,0
888,32.05,0,1525,9,0
889,43.88,1,482,10,0
890,22.7,0,152,22,0
891,25.35,0,1566,27,0
892,5.0,1,482,18,0
893,45.85,0,790,24,0
894,26.12,0,453,5,0
895,143.31,0,1075,29,0
896,57.67,0,487,28,0
897,31.19,2,573,6,0
898,11.82,0,1209,15,0
899,132.02,0,1102,23,0
900,26.65,0,1219,7,0
901,51.12,2,1733,28,0
902,30.25,0,544,6,0
903,41.73,0,946,27,0
904,35.53,1,893,11,0
905,11.5,0,564,24,0
906,19.39,2,236,14,0
907,135.16,2,1397,10,0
908,40.32,1,129,27,0
909,59.11,2,1614,14,0
910,18.54,0,437,20,0
911,31.27,1,1448,15,0
912,78.13,0,1461,18,0
913,53.47,1,1359,29,0
914,96.53,1,1023,18,0
915,7.8,0,1258,8,0
916,40.88,0,196,21,0
917,200.0,0,1592,9,0
918,8.23,0,522,23,0
919,27.91,1,169,25,0
920,48.94,0,1028,26,0
921,45.26,0,694,19,0
922,9.3,0,408,19,0
923,15.6,0,513,24,0
924,27.93,0,105,9,0
925,17.04,0,1044,16,0
926,40.46,1,1722,29,0
927,7.47,0,114,6,0
928,24.56,0,1078,29,0
929,18.28,1,1310,25,0
930,17.73,1,331,6,0
931,129.73,0,1476,8,0
932,45.57,1,1102,16,0
933,43.32,5,32,0,1
934,25.4,1,400,11,0
935,124.0,0,374,9,0
936,42.72,0,100,7,0
937,83.24,0,631,5,0
938,15.89,2,949,21,0
939,61.7,1,1153,9,0
940,59.16,2,668,28,0
941,51.95,1,754,28,0
942,9.45,2,300,12,0
943,18.57,0,371,24,0
944,21.82,1,256,7,0
945,77.42,1,1433,10,0
946,21.9,0,930,25,0
947,17.0,0,118,9,0
948,25.08,2,1208,6,0
949,46.76,1,893,10,0
950,11.63,0,1247,28,0
951,38.97,8,118,0,1
952,73.09,2,1524,7,0
953,57.52,1,1613,9,0
954,49.77,1,591,14,0
955,47.93,1,1232,28,0
956,45.33,0,931,25,0
957,20.09,1,946,23,0
958,13.41,1,401,27,0
959,28.1,1,707,13,0
960,10.12,0,1767,20,0
961,200.0,0,1258,22,0
