parcel_id,order_date,region,driver_id,vehicle_id,parcel_value,parcel_volume,vehicle_health_score,fraud_flag,is_delayed,delivery_date
68,2024-04-15,VN,1040,233,33.78,62,57.76116571251169,0,0,2024-04-18
69,2024-01-04,TH,1080,249,27.35,55,73.00395788802794,0,0,2024-01-08
70,2024-02-23,TH,1045,241,53.69,65,76.94576435097625,0,1,2024-02-25
71,2024-05-25,SG,1048,232,124.82,70,55.63732767515252,0,1,2024-05-30
72,2024-02-13,MY,1064,226,146.49,48,73.9985265445558,1,0,2024-02-15
73,2024-06-10,VN,1041,277,9.18,50,83.37788605572126,0,0,2024-06-14
74,2024-01-14,TH,1022,258,15.18,57,59.10684767857028,0,0,2024-01-15
75,2024-04-04,VN,1026,218,83.47,41,64.3706798795821,0,0,2024-04-07
76,2024-02-17,VN,1088,275,36.52,54,74.69269893408965,0,0,2024-02-21
77,2024-01-15,TH,1031,202,30.17,65,75.40452278140032,0,1,2024-01-17
78,2024-02-09,PH,1082,270,62.0,47,83.72359907410845,0,0,2024-02-13
79,2024-03-22,ID,1087,298,46.06,66,59.12354717326987,0,1,2024-03-26
80,2024-04-20,MY,1002,224,176.53,61,75.40161725881562,0,0,2024-04-24
81,2024-02-22,MY,1059,214,43.85,51,81.54768855360504,0,0,2024-02-23
82,2024-01-24,PH,1075,282,31.37,45,89.28332750787781,0,0,2024-01-27
83,2024-06-02,SG,1098,259,39.13,66,64.11768463136747,0,1,2024-06-06
84,2024-05-03,PH,1078,282,82.65,51,77.62874468369496,0,0,2024-05-06
85,2024-02-10,SG,1016,222,47.42,42,100.0,0,0,2024-02-13
86,2024-06-05,SG,1031,210,52.07,51,88.0490318446607,0,0,2024-06-07
87,2024-01-15,PH,1006,258,177.79,65,73.50395403488474,0,1,2024-01-18
88,2024-02-14,MY,1082,284,48.17,50,73.08306497375752,0,0,2024-02-18
89,2024-03-05,ID,1070,233,23.92,57,73.65313375555976,0,0,2024-03-09
90,2024-03-29,MY,1068,206,58.77,55,75.74134167351342,0,0,2024-04-01
91,2024-03-11,MY,1057,243,53.86,49,92.13780584104617,0,0,2024-03-12
92,2024-01-09,MY,1039,290,0.7,47,83.11822786223577,0,0,2024-01-10
93,2024-03-28,PH,1084,263,31.49,51,52.24334520273848,0,0,2024-03-30
94,2024-05-08,PH,1047,222,67.92,58,54.456578097204016,0,0,2024-05-09
95,2024-05-15,PH,1050,257,34.56,48,61.330723264839236,0,0,2024-05-18
96,2024-03-03,MY,1056,219,75.62,56,62.65746093938998,0,0,2024-03-07
97,2024-05-18,ID,1070,226,29.97,50,56.428661379017626,0,0,2024-05-22
98,2024-03-21,SG,1036,259,204.68,56,86.8119210623815,0,0,2024-03-24
99,2024-05-15,VN,1086,207,17.33,48,69.50607449864577,0,0,2024-05-16
100,2024-06-11,SG,1074,266,4.83,52,86.8040072597044,0,0,2024-06-13
101,2024-06-11,SG,1073,201,28.11,52,86.5437170464791,0,0,2024-06-13
102,2024-02-02,VN,1084,221,39.01,47,64.47902593379588,0,0,2024-02-06
103,2024-05-02,MY,1054,269,21.47,58,55.79874341296187,0,0,2024-05-03
104,2024-01-05,ID,1040,235,13.87,46,72.90773701633807,0,0,2024-01-07
105,2024-02-10,ID,1096,223,55.75,42,45.26499351685747,0,0,2024-02-11
106,2024-01-28,SG,1019,211,23.67,57,66.82323509431694,0,0,2024-01-29
107,2024-05-14,VN,1032,280,49.9,43,81.65178298624767,0,0,2024-05-16
108,2024-03-12,TH,1039,221,75.5,58,86.30092827810508,0,0,2024-03-16
109,2024-01-12,MY,1098,282,71.57,69,54.728027737229255,0,1,2024-01-14
110,2024-06-10,SG,1033,272,23.52,50,68.07311326390277,0,0,2024-06-12
111,2024-02-02,ID,1061,275,41.95,47,59.85928932745777,0,0,2024-02-05
112,2024-02-17,PH,1099,295,29.86,54,100.0,0,0,2024-02-20
113,2024-05-30,PH,1090,294,102.32,62,66.32991948479592,0,0,2024-06-03
114,2024-03-02,VN,1018,280,105.5,63,77.67661282744356,0,0,2024-03-04
115,2024-02-06,VN,1042,222,21.06,54,90.90639303875297,0,0,2024-02-07
116,2024-04-08,SG,1068,273,4.81,66,70.94023514422638,0,1,2024-04-12
117,2024-06-20,TH,1062,262,9.17,56,53.622796995183165,0,0,2024-06-21
118,2024-04-13,ID,1092,229,22.86,64,36.00657570370422,0,1,2024-04-17
119,2024-02-04,SG,1009,218,41.53,57,66.36771389016235,0,0,2024-02-06
120,2024-04-10,TH,1012,225,53.47,65,80.63719884942284,0,1,2024-04-12
121,2024-06-23,VN,1092,289,20.13,55,81.542538347777,0,0,2024-06-27
122,2024-05-10,PH,1004,210,55.06,59,55.55301456902201,0,0,2024-05-12
123,2024-01-01,MY,1057,219,138.82,51,84.95311178729338,0,0,2024-01-02
124,2024-01-05,PH,1058,255,52.78,46,60.663589307083555,0,0,2024-01-08
125,2024-05-21,ID,1075,244,8.63,41,65.59478215060574,0,0,2024-05-23
126,2024-04-12,ID,1058,267,43.34,61,67.25347912175681,0,0,2024-04-16
127,2024-01-27,PH,1076,246,39.03,51,93.52177884821188,0,0,2024-01-30
128,2024-05-16,PH,1085,275,102.28,63,75.35437303339486,0,0,2024-05-17
129,2024-01-15,TH,1014,288,21.56,65,91.87236687036419,0,1,2024-01-17
130,2024-03-30,SG,1076,257,27.49,64,78.82371101975149,0,0,2024-04-01
131,2024-02-11,VN,1000,209,45.65,58,56.242920077192316,0,0,2024-02-15
132,2024-05-03,TH,1037,221,37.16,51,51.534131449666525,0,0,2024-05-06
133,2024-06-27,MY,1052,270,63.47,64,66.79077025763672,0,0,2024-06-29
134,2024-03-03,PH,1051,223,2.06,56,78.55510768650979,0,0,2024-03-07
135,2024-04-05,MY,1000,265,41.45,54,46.178510014593726,0,0,2024-04-08
136,2024-02-21,MY,1010,295,6.49,50,78.7538595063427,0,0,2024-02-25
137,2024-04-05,TH,1057,284,18.93,54,87.03529737713507,0,0,2024-04-09
138,2024-05-11,VN,1039,260,54.18,56,59.55275548124825,0,0,2024-05-14
139,2024-05-30,ID,1085,206,8.56,62,63.1339893614544,0,0,2024-05-31
140,2024-05-22,SG,1098,271,18.47,54,78.1386386638876,0,0,2024-05-23
141,2024-06-19,ID,1059,237,60.7,58,68.49662155645649,0,0,2024-06-23
142,2024-01-29,VN,1043,220,52.61,62,63.3676001672234,0,0,2024-02-02
143,2024-02-05,ID,1005,207,4.77,49,66.94481738422274,0,0,2024-02-07
144,2024-01-13,PH,1027,288,43.05,58,63.11591567553129,0,0,2024-01-14
145,2024-06-08,PH,1030,227,7.96,56,77.58572292339962,0,0,2024-06-09
146,2024-03-11,TH,1007,291,14.54,49,62.10632433640602,0,0,2024-03-15
147,2024-03-26,MY,1004,253,30.74,54,69.73663243625077,0,0,2024-03-28
148,2024-01-28,VN,1053,230,5.79,57,77.0771578230453,0,0,2024-01-30
149,2024-03-06,VN,1016,299,252.94,48,73.68827143349912,0,0,2024-03-08
150,2024-06-18,ID,1037,288,9.04,58,71.46852753886627,0,0,2024-06-21
151,2024-02-14,TH,1008,240,76.01,50,91.68067505591918,0,0,2024-02-17
152,2024-03-02,ID,1073,236,88.55,63,79.54988869854893,0,0,2024-03-05
153,2024-05-13,ID,1083,237,259.82,58,69.02641726610821,1,0,2024-05-15
154,2024-01-28,VN,1077,250,27.99,57,90.2648655308328,0,0,2024-01-29
155,2024-01-28,ID,1013,275,103.61,57,79.29885492721871,0,0,2024-01-31
156,2024-04-17,MY,1025,236,157.96,63,34.230325324421926,0,1,2024-04-22
157,2024-02-13,ID,1092,230,9.49,48,86.9388754723179,0,0,2024-02-17
158,2024-03-24,MY,1061,261,32.64,71,75.75720868975644,0,1,2024-03-29
159,2024-01-30,VN,1090,217,3.09,54,82.50575917793097,0,0,2024-01-31
160,2024-03-15,TH,1024,289,48.47,63,71.75305005930005,0,0,2024-03-18
161,2024-05-07,PH,1079,205,43.54,56,82.2237751470247,0,0,2024-05-08
162,2024-04-01,MY,1035,208,11.42,52,73.6486468493865,0,0,2024-04-04
163,2024-05-08,TH,1097,210,79.95,58,80.77820552724839,0,0,2024-05-12
164,2024-04-30,TH,1079,294,1.9,45,54.17308275445263,0,0,2024-05-04
165,2024-01-27,MY,1032,201,82.05,51,68.7754444342068,0,0,2024-01-28
166,2024-04-30,VN,1002,228,1.35,45,85.0445898544483,0,0,2024-05-03
167,2024-04-25,SG,1086,250,53.48,59,57.38805214250961,0,0,2024-04-29
168,2024-01-03,TH,1010,268,4.1,49,84.3739992404517,0,0,2024-01-06
169,2024-04-12,TH,1057,222,14.47,61,93.46120283367478,0,0,2024-04-15
170,2024-06-03,VN,1063,299,63.99,51,70.04563731149211,0,0,2024-06-05
171,2024-05-16,VN,1017,206,16.45,63,41.39103363490031,0,0,2024-05-19
172,2024-03-02,ID,1046,255,35.79,63,97.41496193373831,0,0,2024-03-03
173,2024-06-13,VN,1043,276,123.4,47,89.96481882353646,1,0,2024-06-17
174,2024-02-20,TH,1092,261,2.55,52,58.712115052587336,0,0,2024-02-21
175,2024-06-20,MY,1058,273,83.32,56,79.6348209941794,0,0,2024-06-23
176,2024-05-31,SG,1049,299,3.37,62,60.82077149130185,0,0,2024-06-01
177,2024-02-28,ID,1068,279,6.78,58,82.56233360412921,0,0,2024-03-03
178,2024-04-27,MY,1087,214,6.35,63,67.87056733886236,0,0,2024-04-30
179,2024-06-08,SG,1028,252,256.66,56,43.83289111921768,0,0,2024-06-09
180,2024-04-05,SG,1092,242,9.93,54,87.91884470532807,0,0,2024-04-08
181,2024-06-28,SG,1089,282,113.54,49,54.64358784794044,0,0,2024-07-01
182,2024-04-22,PH,1066,284,235.15,72,59.8043980505187,0,1,2024-04-24
183,2024-03-02,MY,1001,234,24.21,63,92.33866376648363,0,0,2024-03-05
184,2024-02-21,ID,1024,278,49.85,50,61.6164921438734,0,0,2024-02-22
185,2024-01-12,ID,1018,213,75.5,69,68.9079080670609,0,1,2024-01-17
186,2024-02-08,SG,1039,292,24.93,69,68.63358985129406,0,1,2024-02-12
187,2024-05-09,MY,1001,268,8.83,67,64.95223650322446,0,1,2024-05-11
188,2024-05-10,PH,1082,248,28.44,59,75.25548766623707,0,0,2024-05-14
189,2024-04-22,SG,1064,217,73.9,72,68.94851561586404,0,1,2024-04-25
190,2024-04-10,VN,1061,250,75.88,65,66.37821362439567,0,1,2024-04-14
191,2024-04-22,ID,1090,200,13.1,72,58.80913091671707,0,1,2024-04-27
192,2024-03-21,TH,1053,226,9.62,56,92.90741550067122,0,0,2024-03-24
193,2024-04-22,SG,1044,263,126.64,72,50.636711552633436,0,1,2024-04-26
194,2024-01-02,VN,1048,259,2.25,53,87.3293551458882,0,0,2024-01-04
195,2024-05-09,ID,1098,290,66.35,67,58.57557303780419,0,1,2024-05-14
196,2024-02-23,PH,1068,288,2.38,65,68.80832351090831,0,1,2024-02-27
197,2024-03-27,MY,1037,240,90.98,59,89.21734514198046,0,0,2024-03-31
198,2024-05-08,ID,1003,220,117.91,58,62.077817954439936,0,0,2024-05-10
199,2024-05-26,MY,1016,213,17.65,65,84.18109958792756,0,1,2024-05-31
200,2024-05-05,MY,1052,219,3.84,60,53.9680666726354,0,0,2024-05-07
201,2024-05-09,PH,1084,291,32.76,67,80.66252257751866,0,1,2024-05-14
202,2024-02-22,PH,1052,284,17.72,51,92.42479146408067,0,0,2024-02-24
203,2024-06-20,SG,1030,286,26.99,56,46.99232342445558,0,0,2024-06-24
204,2024-06-08,SG,1021,210,54.68,56,67.28014493144636,0,0,2024-06-09
205,2024-06-08,ID,1010,265,11.78,56,56.992133113580266,0,0,2024-06-09
206,2024-03-08,PH,1033,283,22.08,57,82.77207818130051,0,0,2024-03-11
207,2024-05-02,VN,1014,223,76.29,58,98.37715805062301,0,0,2024-05-04
208,2024-05-24,ID,1009,288,51.61,67,44.87196363868335,0,1,2024-05-28
209,2024-02-07,TH,1095,236,19.75,54,70.09640218268423,0,0,2024-02-08
210,2024-01-24,MY,1052,285,54.58,45,62.629721587546804,0,0,2024-01-27
211,2024-03-09,MY,1047,223,72.48,66,60.15106329102596,0,1,2024-03-14
212,2024-04-25,SG,1030,214,44.88,59,75.03086579523534,0,0,2024-04-27
213,2024-04-07,VN,1036,211,13.69,62,66.60655678576725,0,0,2024-04-09
214,2024-05-18,PH,1027,294,0.01,50,46.09071111241833,0,0,2024-05-22
215,2024-05-23,PH,1030,263,81.19,60,70.48661843318996,0,0,2024-05-25
216,2024-04-06,SG,1069,230,86.48,46,55.86848025370637,0,0,2024-04-08
217,2024-05-03,TH,1013,252,59.8,51,99.86870470045932,0,0,2024-05-06
218,2024-03-10,ID,1086,293,3.98,57,53.14359054521178,0,0,2024-03-12
219,2024-04-02,ID,1015,283,44.0,64,92.83006447008961,0,0,2024-04-03
220,2024-01-03,VN,1024,271,86.02,49,54.85886763949749,0,0,2024-01-07
221,2024-05-27,SG,1038,243,24.69,57,64.14053169323094,0,0,2024-05-29
222,2024-06-12,SG,1065,229,11.03,68,71.43881014110818,0,1,2024-06-14
223,2024-05-26,TH,1037,234,44.29,65,71.49382331811896,0,1,2024-05-31
224,2024-03-30,ID,1040,220,87.52,64,73.79096640036002,0,0,2024-04-02
225,2024-05-26,SG,1097,262,2.51,65,82.31004279165344,0,1,2024-05-30
226,2024-05-27,PH,1039,291,45.43,57,73.08964417945069,0,0,2024-05-30
227,2024-04-05,VN,1063,216,51.53,54,36.87911383736367,0,1,2024-04-09
228,2024-02-21,ID,1088,211,46.11,50,50.465399338229055,0,0,2024-02-22
229,2024-06-09,TH,1099,217,52.5,67,83.0650476778365,0,1,2024-06-11
230,2024-06-16,VN,1015,291,49.9,59,65.98468896509067,0,0,2024-06-18
231,2024-05-07,MY,1081,259,6.99,56,68.56031255145353,0,0,2024-05-09
232,2024-02-08,PH,1076,266,13.39,69,72.13440164514508,0,1,2024-02-12
233,2024-03-22,TH,1058,214,48.25,66,85.04166334956219,0,1,2024-03-27
234,2024-04-13,VN,1090,215,0.89,64,63.311530227900214,0,0,2024-04-17
235,2024-05-08,SG,1097,221,50.36,58,57.30892555128045,0,0,2024-05-11
236,2024-01-11,MY,1010,294,54.74,53,82.5084802760017,0,0,2024-01-12
237,2024-06-26,TH,1000,262,13.67,56,40.666878740661886,0,0,2024-06-27
238,2024-05-30,SG,1012,230,45.58,62,47.169951261466686,0,0,2024-06-02
239,2024-06-07,PH,1029,200,38.19,46,61.777516615731514,0,0,2024-06-10
240,2024-02-11,MY,1068,274,15.1,58,88.47579554003221,0,0,2024-02-12
241,2024-04-08,ID,1017,205,31.09,66,63.97887061023157,0,1,2024-04-10
242,2024-01-07,SG,1077,286,120.19,45,65.77032997653302,0,0,2024-01-08
243,2024-05-23,VN,1012,208,27.81,60,62.30267085672255,0,0,2024-05-26
244,2024-03-30,TH,1031,251,49.69,64,46.14303591565396,0,0,2024-03-31
245,2024-04-21,MY,1070,279,1.8,52,72.6396108192493,0,0,2024-04-25
246,2024-02-29,SG,1071,261,4.05,42,39.28260130516385,0,1,2024-03-02
247,2024-04-22,ID,1049,257,4.24,72,63.90243481009375,0,1,2024-04-25
248,2024-01-02,TH,1070,218,75.31,53,74.35694763491898,0,0,2024-01-03
249,2024-05-08,TH,1079,212,21.56,58,34.009341899403836,0,1,2024-05-11
250,2024-02-17,SG,1030,231,12.91,54,57.551621499698655,0,0,2024-02-21
251,2024-05-19,ID,1050,299,68.78,49,76.8210083043621,0,0,2024-05-21
252,2024-02-06,PH,1026,208,9.31,54,68.73675116580337,0,0,2024-02-09
253,2024-06-08,PH,1059,248,14.15,56,60.47150467218199,0,0,2024-06-11
254,2024-01-09,MY,1032,236,28.19,47,72.26291540178013,0,0,2024-01-12
255,2024-04-08,SG,1052,230,20.13,66,67.99138196432574,0,1,2024-04-13
256,2024-05-26,MY,1092,230,44.02,65,82.25805405494083,0,1,2024-05-30
257,2024-02-17,PH,1071,258,20.61,54,95.27791796211862,0,0,2024-02-18
258,2024-05-10,TH,1032,254,24.96,59,68.40371015882933,0,0,2024-05-14
259,2024-05-27,MY,1040,218,99.35,57,67.89958266661169,0,0,2024-05-31
260,2024-05-31,ID,1018,262,107.94,62,62.09320612663218,0,0,2024-06-01
261,2024-02-23,VN,1084,201,87.93,65,78.64284560659294,0,1,2024-02-25
262,2024-04-29,PH,1040,244,100.06,59,90.10831441810997,0,0,2024-05-01
263,2024-06-09,PH,1084,295,42.17,67,84.47986704621023,0,1,2024-06-13
264,2024-05-31,ID,1088,242,51.96,62,54.16549364740263,0,0,2024-06-01
265,2024-04-25,MY,1041,297,40.73,59,79.99916968311356,0,0,2024-04-29
266,2024-03-15,SG,1022,200,76.99,63,76.63121478705642,0,0,2024-03-19
267,2024-04-22,TH,1074,284,40.04,72,74.68620345746668,0,1,2024-04-24
268,2024-06-12,VN,1032,260,5.89,68,79.28914253930185,0,1,2024-06-16
269,2024-06-14,SG,1019,202,82.93,67,80.39816241299249,0,1,2024-06-17
270,2024-04-13,SG,1024,290,71.48,64,83.06685346950715,0,0,2024-04-15
271,2024-03-24,ID,1089,243,85.82,71,48.990151381477006,0,1,2024-03-28
272,2024-04-21,MY,1051,206,10.56,52,59.79848974985605,0,0,2024-04-24
273,2024-04-08,PH,1011,232,15.85,66,51.28268840274644,0,1,2024-04-13
274,2024-06-01,PH,1031,208,17.53,60,48.259903653087434,0,0,2024-06-02
275,2024-04-02,ID,1032,229,35.47,64,100.0,0,0,2024-04-04
276,2024-05-25,MY,1073,217,7.19,70,64.84818036957884,0,1,2024-05-29
277,2024-05-07,ID,1067,255,24.34,56,78.79267950847478,0,0,2024-05-11
278,2024-04-19,PH,1014,289,10.05,49,53.24785533469978,0,0,2024-04-21
279,2024-03-22,SG,1050,283,15.38,66,81.12206804863843,0,1,2024-03-27
280,2024-02-23,TH,1005,230,61.27,65,85.81224634545565,0,1,2024-02-28
281,2024-06-11,MY,1090,271,96.49,52,91.51068790979653,0,0,2024-06-13
282,2024-06-17,VN,1068,262,1.16,56,74.54012366468203,0,0,2024-06-21
283,2024-06-09,VN,1068,286,41.72,67,56.27582106207534,0,1,2024-06-11
284,2024-03-08,SG,1081,249,1.84,57,66.15749174708031,0,0,2024-03-12
285,2024-02-02,ID,1091,288,4.46,47,88.03972397704216,0,0,2024-02-03
286,2024-05-21,ID,1034,200,61.05,41,37.71011364457164,0,1,2024-05-25
287,2024-01-21,PH,1085,281,66.52,56,60.25692040762648,0,0,2024-01-23
288,2024-02-17,SG,1033,218,84.1,54,58.3388482636347,0,0,2024-02-21
289,2024-05-27,PH,1062,263,32.15,57,50.72456758978513,0,0,2024-05-28
290,2024-05-07,PH,1067,252,98.24,56,94.6032338293867,0,0,2024-05-11
291,2024-05-15,VN,1017,205,9.13,48,83.67151207881824,0,0,2024-05-19
292,2024-05-14,PH,1025,216,14.37,43,57.65482964613591,0,0,2024-05-15
293,2024-05-24,PH,1085,245,7.22,67,82.16107492032215,0,1,2024-05-29
294,2024-05-07,VN,1096,271,79.86,56,74.12520208382573,0,0,2024-05-09
295,2024-02-02,ID,1060,272,12.98,47,71.1661097924695,0,0,2024-02-04
296,2024-06-24,MY,1077,254,8.45,57,89.16108082944876,0,0,2024-06-26
297,2024-04-24,TH,1094,290,48.79,55,75.4122577320046,0,0,2024-04-26
298,2024-04-28,PH,1073,299,4.01,54,56.28245173972252,0,0,2024-04-29
299,2024-01-22,MY,1087,205,2.3,63,59.05819165273238,0,0,2024-01-26
300,2024-06-06,VN,1084,269,5.64,58,53.30478007048798,0,0,2024-06-07
301,2024-02-07,MY,1047,267,0.01,54,54.85186189313806,0,0,2024-02-11
302,2024-04-18,TH,1071,285,59.7,63,63.91189111446124,0,0,2024-04-21
303,2024-02-20,MY,1095,239,41.3,52,65.09982252535451,0,0,2024-02-24
304,2024-01-08,MY,1030,290,11.78,67,66.20003859840074,0,1,2024-01-13
305,2024-01-27,MY,1033,265,13.26,51,79.40570750880941,0,0,2024-01-29
306,2024-01-27,MY,1086,208,83.29,51,85.4491708558092,0,0,2024-01-31
307,2024-01-21,SG,1088,210,34.84,56,80.3439601917985,0,0,2024-01-24
308,2024-01-30,PH,1006,219,59.95,54,74.89043974836204,0,0,2024-01-31
309,2024-04-06,VN,1082,242,30.14,46,79.83738917114164,0,0,2024-04-08
310,2024-01-28,TH,1006,257,13.57,57,63.79252392274127,0,0,2024-01-31
311,2024-04-20,VN,1046,277,176.0,61,66.97157175903624,0,0,2024-04-23
312,2024-03-01,SG,1007,225,41.69,47,65.36014751919673,0,0,2024-03-04
313,2024-02-17,SG,1077,237,7.02,54,64.7288790112633,0,0,2024-02-18
314,2024-05-26,SG,1000,293,26.05,65,52.06504093323201,0,1,2024-05-28
315,2024-01-04,PH,1076,235,19.97,55,70.12859338580651,0,0,2024-01-07
316,2024-02-04,SG,1002,298,12.05,57,54.87445849248083,0,0,2024-02-05
317,2024-02-18,MY,1052,254,135.48,65,62.25121963031249,1,1,2024-02-23
318,2024-01-17,VN,1091,205,106.4,71,53.05549695047372,0,1,2024-01-22
319,2024-06-20,ID,1037,202,11.1,56,45.78055248420142,0,0,2024-06-21
320,2024-06-06,TH,1050,264,21.7,58,61.350256300313944,0,0,2024-06-09
321,2024-02-15,SG,1014,263,71.84,66,68.44347625492003,0,1,2024-02-19
322,2024-04-26,VN,1099,257,11.69,54,68.54038273835037,0,0,2024-04-28
323,2024-01-06,SG,1066,257,44.77,48,77.05249119342758,0,0,2024-01-09
324,2024-04-08,PH,1063,217,60.16,66,77.55658219864084,0,1,2024-04-11
325,2024-05-03,SG,1067,222,53.06,51,56.46824255032698,0,0,2024-05-05
326,2024-02-06,SG,1004,295,61.28,54,84.45505438671333,0,0,2024-02-09
327,2024-01-24,SG,1089,228,61.33,45,45.77841046656661,0,0,2024-01-25
328,2024-04-02,SG,1088,222,167.34,64,72.2758487935603,0,0,2024-04-04
329,2024-02-15,TH,1009,235,21.27,66,27.06883160315779,0,1,2024-02-18
330,2024-04-04,VN,1007,269,105.43,41,80.39673140244426,0,0,2024-04-06
